DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAFFRINE,KAFFRINE,ECOLE 1,01,585,ECOLE 8 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 1,02,586,ECOLE 8 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 1,03,579,ECOLE 8 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 1,04,584,ECOLE 8 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 1,05,584,ECOLE 8 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 1,06,577,ECOLE 8 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 1,07,579,ECOLE 8 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 1,08,515,ECOLE 8 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 1,09,423,ECOLE 8 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 1,10,423,ECOLE 8 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 2,01,554,SALLE CM2A
KAFFRINE,KAFFRINE,ECOLE 2,02,555,SALLE CM1A
KAFFRINE,KAFFRINE,ECOLE 2,03,555,SALLE CE2 A
KAFFRINE,KAFFRINE,ECOLE 2,04,555,SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 2,05,555,SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 4,01,595,SALLE 01
KAFFRINE,KAFFRINE,ECOLE 4,02,595,SALLE 03
KAFFRINE,KAFFRINE,ECOLE 4,03,596,SALLE 05
KAFFRINE,KAFFRINE,ECOLE 4,04,595,SALLE 07
KAFFRINE,KAFFRINE,ECOLE 4,05,595,SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 4,06,595,SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 4,07,596,SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 5,01,572,SALLE SAMBA KHARY CISSE
KAFFRINE,KAFFRINE,ECOLE 5,02,572,SALLE MODOU BORANE
KAFFRINE,KAFFRINE,ECOLE 5,03,572,SALLE WALY THIOBANE
KAFFRINE,KAFFRINE,ECOLE 5,04,573,SALLE ALY SEGNANE
KAFFRINE,KAFFRINE,ECOLE 5,05,571,SALLE ELHADJI OMAR THIAM
KAFFRINE,KAFFRINE,ECOLE 5,06,571,SALLE ELHADJI KEBA MBOUP
KAFFRINE,KAFFRINE,ECOLE 5,07,572,SALLE ELHADJI IBOU GAYE
KAFFRINE,KAFFRINE,ECOLE 5,08,572,SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 5,09,571,SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 5,10,570,ECOLE EFA SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 5,11,571,ECOLE EFA SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 5,12,572,ECOLE EFA SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 5,13,572,ECOLE EFA SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 5,14,572,ECOLE EFA SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 5,15,573,ECOLE EFA SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 6,01,580,SALLE CM1 A
KAFFRINE,KAFFRINE,ECOLE 6,02,578,SALLE CE2A
KAFFRINE,KAFFRINE,ECOLE 6,03,575,SALLE CE2B
KAFFRINE,KAFFRINE,ECOLE 6,04,578,SALLE CM2A
KAFFRINE,KAFFRINE,ECOLE 6,05,574,SALLE CIA
KAFFRINE,KAFFRINE,ECOLE 6,06,565,ECOLE 3 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 6,07,559,ECOLE 3 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 6,08,566,ECOLE 3 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 6,09,548,ECOLE 3 SALLE DE CLASSE
KAFFRINE,KAFFRINE,ECOLE 6,10,549,ECOLE 3 SALLE DE CLASSE
