DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOUNGHEUL,FASS THIEKENE,DAROU FANA,01,280,ECOLE SALLE 1
KOUNGHEUL,FASS THIEKENE,DAROU MBAYENE,01,278,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,DOUBEL GUEDE,01,380,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,FASS THIECKENE,01,524,ECOLE SALLE 1
KOUNGHEUL,FASS THIEKENE,FASS THIECKENE,02,525,SALLE DE CLASSE
KOUNGHEUL,FASS THIEKENE,KEUR ABDOULAYE FANTA,01,567,ECOLE SALLE 1
KOUNGHEUL,FASS THIEKENE,KEUR ABDOULAYE FANTA,02,65,ECOLE SALLE 2
KOUNGHEUL,FASS THIEKENE,KEUR OMAR BOUNE,01,259,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,KEUR SERIGNE DIEBEL,01,588,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,KOUNGHEUL SOCE,01,519,ECOLE SALLE 1
KOUNGHEUL,FASS THIEKENE,KOUNO BABOU NGUETH,01,309,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,MAKA KATAL,01,256,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,MEDINA FASS,01,207,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,MEDINA TAHIROU,01,487,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,MEDINA TAHIROU,02,147,ECOLE SALLE 2
KOUNGHEUL,FASS THIEKENE,MINAME,01,409,ECOLE SALLE 1
KOUNGHEUL,FASS THIEKENE,MINAME,02,314,ECOLE SALLE 2
KOUNGHEUL,FASS THIEKENE,MISSIRAH KOUTHIAM,01,314,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,MISSIRAH THIECKENE,01,56,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,PIRAME,01,310,MAGASIN
KOUNGHEUL,FASS THIEKENE,PIRAME,02,310,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,SAME DIEBEL,01,560,ECOLE SALLE 1
KOUNGHEUL,FASS THIEKENE,SANTHIE PATHE,01,147,ABRI PROVISOIRE
KOUNGHEUL,FASS THIEKENE,TOBENE MALICK,01,471,CASE DE SANTE
