DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GUINGUINEO,NDIAGO,DAROU DIADJI,01,267,ECOLE ELEMENTAIRE
GUINGUINEO,NDIAGO,MAKA MBAYE,01,208,ECOLE PUBLIQUE SALLE N1
GUINGUINEO,NDIAGO,NDELLE,01,424,ECOLE PUBLIQUE SALLE N° 1
GUINGUINEO,NDIAGO,NDELLE,02,424,ECOLE PUBLIQUE SALLE N° 2
GUINGUINEO,NDIAGO,NDIAGNE KAHONE,01,289,ECOLE PUBMIQUE SALLE N° 1
GUINGUINEO,NDIAGO,NDIAGO,01,594,ECOLE PUBLIQUE SALLE N° 1
GUINGUINEO,NDIAGO,NDIAGO,02,593,ECOLE PUBLIQUE SALLE N° 2
GUINGUINEO,NDIAGO,NDIAGO,03,593,ECOLE PUBLIQUE SALLE N° 3
GUINGUINEO,NDIAGO,NDIOLOFENE,01,167,ECOLE PUBLIQUE SALLE N1
GUINGUINEO,NDIAGO,NGARE DIA,01,120,PHARMACIE VILLAGE
GUINGUINEO,NDIAGO,NGARE KEUR AMADOU YACINE,01,237,ECOLE PUBLIQUE SALLE N1
GUINGUINEO,NDIAGO,NGAR KEUR MADIENG,01,270,CASE DE SANTE
GUINGUINEO,NDIAGO,SAKHAGNE KEUR BIRANE,01,394,ECOLE PUBLIQUE SALLE N1
GUINGUINEO,NDIAGO,WENDOU GNIVA,01,213,ECOLE PUBLIQUE SALLE N1
