DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GUINGUINEO,NGAGNICK,ATHIOU SAMBA FAYE,01,368,ECOLE PUBLIQUE SALLE N° 1
GUINGUINEO,NGAGNICK,GAGNICK GOUREYE,01,437,ECOLE PUBLIQUE SALLE N° 1
GUINGUINEO,NGAGNICK,GAGNICK HALTE,01,340,ECOLE PUBLIQUE SALLE N° 1
GUINGUINEO,NGAGNICK,GAGNICK KHODJIL,01,443,ECOLE PUBLIQUE SALLE N° 1
GUINGUINEO,NGAGNICK,GAGNICK KHODJIL,02,442,SALLE CLASSE
GUINGUINEO,NGAGNICK,KEUR KABOU,01,318,ABRI PROVISOIRE
GUINGUINEO,NGAGNICK,MEO MEO,01,520,ECOLE ARABE
GUINGUINEO,NGAGNICK,NDINGLERE,01,411,ECOLE PUBLIQUE SALLE N° 1
GUINGUINEO,NGAGNICK,NDINGLERE TAOFEKHE,01,205,ECOLE PUBLIQUE SALLE N1
GUINGUINEO,NGAGNICK,TIBOU,01,493,ECOLE PUBLIQUE SALLE N° 1
