DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GUINGUINEO,NGELLOU,KEUR SADIOUKA,01,215,SALLE DE CLASSE CP ECOLE
GUINGUINEO,NGELLOU,LALOYE,01,256,ECOLE ELEMENTAIRE
GUINGUINEO,NGELLOU,MBOUR SINE,01,418,SALLE DE CLASSE CE 1 ECOLE
GUINGUINEO,NGELLOU,NGADADA,01,587,CLASSE CP ECOLE ELEMENTAIRE
GUINGUINEO,NGELLOU,NGUELOU,01,353,ECOLE PUBLIQUE SALLE N° 1
GUINGUINEO,NGELLOU,NGUELOU,02,353,ECOLE PUBLIQUE SALLE N° 2
GUINGUINEO,NGELLOU,TENE FODE,01,278,ECOLE PUBLIQUE SALLE N° 1
GUINGUINEO,NGELLOU,THICKI OUOLOF,01,467,CLASSE CE2 ECOLE ELEMENTAIRE
GUINGUINEO,NGELLOU,THICKI OUOLOF,02,466,CLASSE CM1 ECOLE ELEMENTAIRE
GUINGUINEO,NGELLOU,THICKI SERERE,01,320,CLASSE CE2 ECOLE ELEMENTAIRE
GUINGUINEO,NGELLOU,THICKI SERERE,02,322,CLASSE CM1 ECOLE ELEMENTAIRE
