DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GUINGUINEO,OUROUR,COLOBANE LAMBAYE,01,384,CLASSE CE 1 ECOLE ELEMENTAIRE
GUINGUINEO,OUROUR,GOWETHIE SERERE,01,351,CLASSE CE 1 ECOLE ELEMENTAIRE
GUINGUINEO,OUROUR,GOWETHIE WADENE,01,340,CLASSE CP ECOLE ELEMENTAIRE
GUINGUINEO,OUROUR,KEUR YERI CISSE,01,189,CLASSE CE 1 ECOLE ELEMENTAIRE
GUINGUINEO,OUROUR,LAMBOCK,01,581,CLASSE CE 2 ECOLE ELEMENTAIRE
GUINGUINEO,OUROUR,MANDE KEUR DIEGANE THIARE,01,528,CLASSE CE 1 ECOLE ELEMENTAIRE
GUINGUINEO,OUROUR,MANDE KEUR MIGNANE,01,268,CLASSE CE 2 ECOLE ELEMENTAIRE
GUINGUINEO,OUROUR,MANDE KOUTA,01,367,CLASSE CE 1 ECOLE ELEMENTAIRE
GUINGUINEO,OUROUR,MANDE KOUTA,02,367,CLASSE CE2
GUINGUINEO,OUROUR,OUROUR,01,398,CLASSE CM 1 ECOLE ELEMENTAIRE
GUINGUINEO,OUROUR,OUROUR,02,398,SALLE DE CLASSE CP
GUINGUINEO,OUROUR,SOUMBEL,01,438,CLASSE CP ECOLE ELEMENTAIRE
