DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
NIORO DU RIP,POROKHANE,AFIA THIAMENE,1,579,CLASSE CE2
NIORO DU RIP,POROKHANE,AFIA THIAMENE,2,205,CLASSE CM1
NIORO DU RIP,POROKHANE,DAGA ALBOURI ECOLE,1,338,CLASSE CE1
NIORO DU RIP,POROKHANE,DAROU MOUGNAGUENE,1,551,CLASSE CM2
NIORO DU RIP,POROKHANE,DAROU MOUGNAGUENE,2,135,CLASSE CM1
NIORO DU RIP,POROKHANE,KEUR BABOU DIOP,1,506,CLASSE CM2
NIORO DU RIP,POROKHANE,KEUR BIDJI AWA,1,506,CLASSE CE1
NIORO DU RIP,POROKHANE,KEUR BIRANE DIA,1,307,CLASSE CM1
NIORO DU RIP,POROKHANE,KEUR BIRANE DIA,2,306,CLASSE CM2
NIORO DU RIP,POROKHANE,KEUR DIATTA,1,196,CLASSE CE1
NIORO DU RIP,POROKHANE,KEUR MOUSSA FRONTIERE,1,537,CLASSE CM1
NIORO DU RIP,POROKHANE,KEUR MOUSSA FRONTIERE,2,539,CLASSE CM2
NIORO DU RIP,POROKHANE,KEUR MOUSSA FRONTIERE,3,282,CLASSE CE2
NIORO DU RIP,POROKHANE,KEUR SETTE DIAKHOU,1,458,CLASSE CM1
NIORO DU RIP,POROKHANE,KEUR SETTE DIAKHOU,2,459,CLASSE CM2
NIORO DU RIP,POROKHANE,KEUR SOUNTOU,1,539,CLASSE CM2
NIORO DU RIP,POROKHANE,KEUR TAMBA,1,429,CLASSE CE2
NIORO DU RIP,POROKHANE,MEDINA MOUNAWAR,1,388,ECOLE CLASSE CM1
NIORO DU RIP,POROKHANE,MEDINA OUMAR NIANG,1,431,ECOLE CLASSE CM2
NIORO DU RIP,POROKHANE,MEDINA OUMAR NIANG,2,431,ECOLE CLASSE CE2
NIORO DU RIP,POROKHANE,NDIENGHENE KEUR MALOBE,1,526,CLASSE CE1
NIORO DU RIP,POROKHANE,NDIENGHENE KEUR MALOBE,2,526,CLASSE CM2
NIORO DU RIP,POROKHANE,POROKHANE,1,565,CLASSE CP2
NIORO DU RIP,POROKHANE,POROKHANE,2,567,CLASSE CE1
NIORO DU RIP,POROKHANE,POROKHANE,3,566,CLASSE CE2
NIORO DU RIP,POROKHANE,POROKHANE,4,570,CLASSE CM2
NIORO DU RIP,POROKHANE,POROKHANE,5,557,SALLE DE CLASSE
NIORO DU RIP,POROKHANE,POROKHANE,6,569,CE1 B
NIORO DU RIP,POROKHANE,POROKHANE,7,460,CLASSE CM1
NIORO DU RIP,WACK NGOUNA,CASE DES TOUT-PETITS,1,552,SALLE DE CONFERENCES
NIORO DU RIP,WACK NGOUNA,DAGA BANI,1,390,ABRI PROVISOIRE
NIORO DU RIP,WACK NGOUNA,DAROU MATAR,1,440,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,DAROU SALAM MOURIDE,1,376,ECOLE PUBLIQUE CLASSE 1
NIORO DU RIP,WACK NGOUNA,FETTO,1,371,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,KEUR AMADI NGUENAR,1,176,SALLE DE CLASSE
NIORO DU RIP,WACK NGOUNA,KEUR BABOU MBOMBE,1,337,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,KEUR MADI YACINE,1,477,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,KEUR MAMADOU NENE,1,348,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,KEUR MAMOUR COUMBA,1,418,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,KEUR SACOUMBA,1,209,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,KEUR SAMBA KA,1,458,ABRI PROVISOIRE
NIORO DU RIP,WACK NGOUNA,KEUR SEYDOU BA,1,381,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,KEUR YORO KHODIA,1,518,CLASSE 1
NIORO DU RIP,WACK NGOUNA,KEUR YORO KHODIA,2,512,CLASSE 2
NIORO DU RIP,WACK NGOUNA,KEUR YORO KHODIA,3,309,SALLE DE CLASSE
NIORO DU RIP,WACK NGOUNA,KOTINETE,1,336,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,KOUTANGO,1,205,CLASSE 1
NIORO DU RIP,WACK NGOUNA,MBADIENE,1,332,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,MBAYENE,1,514,ABRI PROVISOIRE
NIORO DU RIP,WACK NGOUNA,MEDINA THIAMENE,1,438,CLASSE 1
NIORO DU RIP,WACK NGOUNA,MERELLA YORO,1,199,SALLE DE CLASSE
NIORO DU RIP,WACK NGOUNA,NDIAGO 1,1,465,CLASSE 1
NIORO DU RIP,WACK NGOUNA,NDIAGO 1,2,464,CLASSE 2
NIORO DU RIP,WACK NGOUNA,NDIAYENE CADD,1,94,ECOLE CLASSE 2
NIORO DU RIP,WACK NGOUNA,NDIBA,1,329,ECOLE CLASSE 1
NIORO DU RIP,WACK NGOUNA,NDIOUFFENE THIVALO,1,166,CLASSE 1
NIORO DU RIP,WACK NGOUNA,PANE MATH,1,230,CLASSE 1
NIORO DU RIP,WACK NGOUNA,PANE MATH,2,230,CLASSE 2
NIORO DU RIP,WACK NGOUNA,PASSI BABOU,1,405,ABRI PROVISOIRE
NIORO DU RIP,WACK NGOUNA,SABOYA,1,566,CLASSE 1
NIORO DU RIP,WACK NGOUNA,SABOYA,2,64,CLASSE CI
