DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAOLACK,DYA,ECOLE DE DIOKOUL,01,509,CLASSE CM2
KAOLACK,DYA,ECOLE DE DIOKOUL,02,280,SALLE DE CLASSE
KAOLACK,DYA,ECOLE DE DYA,01,536,CLASSE CP
KAOLACK,DYA,ECOLE DE DYA,02,535,CLASSE CE2
KAOLACK,DYA,ECOLE DE DYA,03,536,CLASSE CM1 A
KAOLACK,DYA,ECOLE DE GOMONE,01,600,CLASSE CM2A
KAOLACK,DYA,ECOLE DE NGOTHIE,01,545,CLASSE CM2
KAOLACK,DYA,ECOLE DE NGOTHIE,02,539,CLASSE CP
KAOLACK,DYA,ECOLE DE NGOTHIE,03,303,CLASSE CE2 B
KAOLACK,DYA,ECOLE DE SIKHANE,01,417,CLASSE CE1
KAOLACK,DYA,ECOLE KEUR DIOGOYE NDIAYE,01,312,CLASSE CM2
KAOLACK,DYA,ECOLE SOB 2,01,501,CLASSE CE1
KAOLACK,DYA,KEUR NDENE NDAO,01,523,C I
KAOLACK,DYA,KEUR SOUKA,01,374,C I
KAOLACK,DYA,NGANE,01,515,CLASSE CP
