DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAOLACK,THIARE,DAROU PAKA THIAR,01,579,POSTE DE SANTE DAROU PAKA THIAR
KAOLACK,THIARE,KERVAL,01,366,CLASSE CE1
KAOLACK,THIARE,KEUR SAFADI,01,588,CLASSE CM2
KAOLACK,THIARE,KEUR SERIGNE BASSIROU,01,411,CASE ASBEF
KAOLACK,THIARE,KEUR SETTE AWA,01,320,CLASSE CI
KAOLACK,THIARE,KEUR SETTE AWA,02,319,CLASSE CE1
KAOLACK,THIARE,KOKI,01,243,CLASSE CE2
KAOLACK,THIARE,KOUPETHIE THIAMENE,01,502,CLASSE CM2
KAOLACK,THIARE,NDIAMBOUR,01,358,ECOLE NDIAMBOUR
KAOLACK,THIARE,NGAMBI,01,369,CLASSE CM2
KAOLACK,THIARE,PAKATHIAR,01,404,CLASSE CE1
KAOLACK,THIARE,PAKATHIAR,02,404,CLASSE CM1
KAOLACK,THIARE,SENALA KEUR DIABEL,01,533,CLASSE CP
KAOLACK,THIARE,SENALA KEUR DIABEL,02,534,CLASSE ARABE
KAOLACK,THIARE,THIAKHO MATAR,01,488,CM2
KAOLACK,THIARE,THIAKHO MATI,01,563,CLASSE C P
KAOLACK,THIARE,THIANGA ELHADJI MOMATH,01,292,CLASSE CE2
KAOLACK,THIARE,THIARE,01,562,CLASSE CE1A
KAOLACK,THIARE,THIARE,02,562,CLASSE CM2A
KAOLACK,THIARE,THINDOGNE,01,300,CLASSE CP
KAOLACK,THIARE,THINDOGNE,02,299,CLASSE CM1
