DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
NIORO DU RIP,KEUR MABA DIAKHOU,GORIA,01,363,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,KEUR AMATH SEYDOU,01,534,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,KEUR GALDERI,01,272,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,KEUR MABA DIAKHOU,01,548,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,KEUR MABA DIAKHOU,02,546,CLASSE 3
NIORO DU RIP,KEUR MABA DIAKHOU,KEUR MALICK RAMATA,01,193,CASE DE SANTE
NIORO DU RIP,KEUR MABA DIAKHOU,KEUR SAROKHY,01,300,CLASSE1
NIORO DU RIP,KEUR MABA DIAKHOU,KEUR SERIGNE BA,01,140,ECOLE SALLE DE CLASSE
NIORO DU RIP,KEUR MABA DIAKHOU,KOURANKOU,01,263,ECOLE CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,LOUMENE OUSMANE,01,251,ECOLE CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,NAOULEROU,01,425,ECOLE CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,NDEMENEL,01,214,ECOLE CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,NDIAGNE WALO,01,548,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,NDIAGNE WALO,02,165,SALLE DE CLASSE
NIORO DU RIP,KEUR MABA DIAKHOU,NDIAYENE POSTE,01,389,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,NDIOBENE WALO,01,404,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,NDIOBENE WALO,02,404,SALLE DE CLASSE
NIORO DU RIP,KEUR MABA DIAKHOU,NDRAME DIMB,01,242,ECOLE CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,NGUEYENE MAMADI,01,276,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,NIANGHENE,01,174,ABRI PROVISORE
NIORO DU RIP,KEUR MABA DIAKHOU,NIASSENE,01,360,CASE DE SANTE
NIORO DU RIP,KEUR MABA DIAKHOU,NIASSENE,02,360,CASE DE SANTE
NIORO DU RIP,KEUR MABA DIAKHOU,PANE ABDOULAYE DIOP,01,375,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,PASSI KHOUR,01,118,ABRI PROVISORE
NIORO DU RIP,KEUR MABA DIAKHOU,SAMBOUMBA,01,240,ECOLE CLASSE 2
NIORO DU RIP,KEUR MABA DIAKHOU,THIAMBENE,01,286,ECOLE CLASSE 2
NIORO DU RIP,KEUR MABA DIAKHOU,THIARENE MATAR,01,390,ECOLE CLASSE 2
NIORO DU RIP,KEUR MABA DIAKHOU,THILLA GARANG,01,248,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,THILLA GARANG,02,248,CLASSE 3
NIORO DU RIP,KEUR MABA DIAKHOU,VELINGARA,01,442,CLASSE 1
NIORO DU RIP,KEUR MABA DIAKHOU,VELINGARA,02,442,CLASSE 3
