DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
NIORO DU RIP,MEDINA SABAKH,DIAGLE,01,247,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,DJIGUIMAR,01,439,ECOLE CLASSE C R
NIORO DU RIP,MEDINA SABAKH,DJIGUIMAR,02,438,ECOLE CLASSE KFW
NIORO DU RIP,MEDINA SABAKH,ECOLE ELEMENTAIRE BOUMBOUNE,01,314,SALLE DE CLASSE
NIORO DU RIP,MEDINA SABAKH,ECOLE ELEMENTAIRE NDIBA NDIAYENE,01,427,SALLE DE CLASSE
NIORO DU RIP,MEDINA SABAKH,ECOLE ELEMENTAIRE NDIBA NDIAYENE,02,427,ECOLE CLASSE CM1
NIORO DU RIP,MEDINA SABAKH,ECOLE ELEMENTAIRE NDIBA NDIAYENE,03,426,ECOLE CLASSE CP
NIORO DU RIP,MEDINA SABAKH,FALIFA,01,392,ECOLE CLASSE CM2
NIORO DU RIP,MEDINA SABAKH,FALIFA,02,391,ECOLE CLASSE CE2
NIORO DU RIP,MEDINA SABAKH,KEUR AYIB GUEYE,01,567,ECOLE CLASSE CM2
NIORO DU RIP,MEDINA SABAKH,KEUR AYIB GUEYE,02,564,ECOLE CLASSE CM1
NIORO DU RIP,MEDINA SABAKH,KEUR AYIB GUEYE,03,569,ECOLE CLASSE CP
NIORO DU RIP,MEDINA SABAKH,KEUR AYIB GUEYE,04,567,ECOLE CLASSE CE2
NIORO DU RIP,MEDINA SABAKH,KEUR AYIB GUEYE,05,568,CLASSE CE1
NIORO DU RIP,MEDINA SABAKH,KEUR AYIB GUEYE,06,178,ECOLE CLASSE CP2
NIORO DU RIP,MEDINA SABAKH,KEUR BAMBA GUEYE,01,330,ECOLE ARABE
NIORO DU RIP,MEDINA SABAKH,KEUR KATIM DIAKHOU,01,359,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,KEUR KATIM DIAMA,01,504,ECOLE CLASSE CE2
NIORO DU RIP,MEDINA SABAKH,KEUR NGATANE,01,403,ABRI RPOVISOIRE
NIORO DU RIP,MEDINA SABAKH,KEUR NGATANE,02,403,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,KEUR SETTE DIABOU,01,375,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,KOHEL,01,432,CASE DE SANTE
NIORO DU RIP,MEDINA SABAKH,KOUPAK KEUR BIRANE GAMOU,01,327,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,MBAPP,01,207,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,MEDINA SABAKH ECOLE 1,01,467,ECOLE 1 CLASSE CI A
NIORO DU RIP,MEDINA SABAKH,MEDINA SABAKH ECOLE 1,02,467,ECOLE 1 CLASSE CE 1 A
NIORO DU RIP,MEDINA SABAKH,MEDINA SABAKH ECOLE 1,03,466,ECOLE 1 CLASSE CM 1 A
NIORO DU RIP,MEDINA SABAKH,MEDINA SABAKH ECOLE 1,04,466,ECOLE 1 CLASSE CM 1 B
NIORO DU RIP,MEDINA SABAKH,MEDINA SABAKH ECOLE 1,05,466,ECOLE 1 CLASSE CP B
NIORO DU RIP,MEDINA SABAKH,MEDINA SABAKH ECOLE 1,06,467,CLASSE CM2 B
NIORO DU RIP,MEDINA SABAKH,MEDINA SABAKH ECOLE 2,01,501,ECOLE 2 CLASSE CM2
NIORO DU RIP,MEDINA SABAKH,MEDINA SABAKH ECOLE 2,02,500,ECOLE 1 CLASSE CE2
NIORO DU RIP,MEDINA SABAKH,NDIAWARA,01,160,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,PAKALA,01,264,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,PAKALA,02,263,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,PAKANE KEUR SAMBA,01,346,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,PAKANE KEUR SAMBA,02,346,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,PASSI RIP,01,538,ECOLE CLASSE CM2
NIORO DU RIP,MEDINA SABAKH,PAYOMA,01,303,ECOLE CLASSE CM2
NIORO DU RIP,MEDINA SABAKH,PAYOMA,02,304,ECOLE SALLE DE CLASSE
NIORO DU RIP,MEDINA SABAKH,SANGHAP,01,470,ECOLE CLASSE CE2
NIORO DU RIP,MEDINA SABAKH,SANGHAP,02,469,ECOLE CLASSE CM1
NIORO DU RIP,MEDINA SABAKH,SANTHIE MEDINA,01,402,ECOLE CLASSE CM2
NIORO DU RIP,MEDINA SABAKH,SANTHIE SANGHAP,01,334,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,SIWOL,01,408,ECOLE CLASSE CM2
NIORO DU RIP,MEDINA SABAKH,YONGO,01,150,ABRI PROVISOIRE
NIORO DU RIP,MEDINA SABAKH,YOUNA,01,172,ECOLE ELEMENTAIRE/ CLASSE CM2
