DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
NIORO DU RIP,PAOSKOTO,DAROU NAHIM,01,217,ABRI PROVISOIRE
NIORO DU RIP,PAOSKOTO,DINGUIRAYE,01,595,CLASSE CP 2
NIORO DU RIP,PAOSKOTO,DINGUIRAYE,02,594,CLASSE CE 2
NIORO DU RIP,PAOSKOTO,DINGUIRAYE,03,595,CLASSE CM 1
NIORO DU RIP,PAOSKOTO,DINGUIRAYE,04,594,CLASSE CM 2
NIORO DU RIP,PAOSKOTO,GAPAKH,01,572,CLASSE CM 2
NIORO DU RIP,PAOSKOTO,GAPAKH,02,44,CLASSE CM1
NIORO DU RIP,PAOSKOTO,KENIEBA KEUR BANDIOUGOU,01,125,ABRI PROVISOIRE
NIORO DU RIP,PAOSKOTO,KEUR AMATH DRAME,01,493,MAGASIN POLYVALENT
NIORO DU RIP,PAOSKOTO,KEUR MALLE,01,420,CLASSE CM 1
NIORO DU RIP,PAOSKOTO,KEUR NDJIGOU,01,174,ABRI PROVISOIRE
NIORO DU RIP,PAOSKOTO,MBAYE FAYE MASSERIGNE,01,320,CLASSE CM 2
NIORO DU RIP,PAOSKOTO,PAKALA MBAYENE,01,373,CLASSE CE 2
NIORO DU RIP,PAOSKOTO,PAOSKOTO,01,530,CLASSE CE 1
NIORO DU RIP,PAOSKOTO,PAOSKOTO,02,529,CLASSE CE 2
NIORO DU RIP,PAOSKOTO,PAOSKOTO,03,530,CLASSE CM 1
NIORO DU RIP,PAOSKOTO,PAOSKOTO,04,530,CI A
NIORO DU RIP,PAOSKOTO,VENTHIEVI,01,322,CLASSE CE 1
NIORO DU RIP,PAOSKOTO,VENTHIEVI,02,321,CLASSE CM 1
