DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SARAYA,SABODOLA,BAMBARAYA,01,289,SALLE CLASSE CE
SARAYA,SABODOLA,BRANSAN,01,290,CLASSE CE1
SARAYA,SABODOLA,BRANSAN,02,291,CLASSE CE2
SARAYA,SABODOLA,DIALAKOTOBA,01,272,SALLE CLASSE CE
SARAYA,SABODOLA,DINDIFA,01,133,SALLE DE CLASSE CE
SARAYA,SABODOLA,FALOUMBOU,01,186,SALLE CLASSE CE
SARAYA,SABODOLA,MADINA SABODALA,01,336,SALLE DE CLASSE CE
SARAYA,SABODOLA,MAKHANA BINDI BANDADJI,01,165,SALLE DE CLASSE CE
SARAYA,SABODOLA,MAMAKHONO,01,363,SALLE CLASSE CE
SARAYA,SABODOLA,MAMAKHONO,02,364,SALLE CLASSE CM
SARAYA,SABODOLA,NIAKHAFIRI SABODALLA 2,01,416,SALLE CLASSE CM
SARAYA,SABODOLA,NIAKHAFIRI SABODALLA 2,02,416,SALLE DE CLASSE CE
SARAYA,SABODOLA,TENKOTO,01,354,SALLE CLASSE CE
