DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOLDA,DIOULACOLON,BANTANCOUNTOUYEL,01,425,CLASSE CE 2
KOLDA,DIOULACOLON,BODEYEL ABDOUL,01,337,CLASSE CP
KOLDA,DIOULACOLON,DARSALAM THIERNO,01,411,CLASSE CE 1
KOLDA,DIOULACOLON,DIADOUDICOUNDA,01,303,CLASSE CP
KOLDA,DIOULACOLON,DIOULACOLON,01,514,CLASSE CE 1
KOLDA,DIOULACOLON,DIOULACOLON,02,513,CLASSE CM 1
KOLDA,DIOULACOLON,ECOLE GUIRO YERO MANDOU,01,290,SALLE DE CLASSE
KOLDA,DIOULACOLON,FARABA,01,540,CLASSE CE 2
KOLDA,DIOULACOLON,FARABA,02,75,CLASSE CM2
KOLDA,DIOULACOLON,GUIRO YERO ALPHA,01,375,CLASSE CP
KOLDA,DIOULACOLON,LINGUETTO,01,401,CLASSE CP
KOLDA,DIOULACOLON,SAM-PATHE,01,234,CLASSE CE 1
KOLDA,DIOULACOLON,SARE OUMAR,01,255,CLASSE CP
KOLDA,DIOULACOLON,SARE SAMBA SANE,01,284,CLASSE CP
KOLDA,DIOULACOLON,SARE SAMBOUDIANG,01,348,CLASSE CP
KOLDA,DIOULACOLON,SARE YORO-BANA,01,269,CLASSE CI
KOLDA,DIOULACOLON,SINTHIANG SAMBA COULIBALY,01,560,CLASSE CE 1
KOLDA,DIOULACOLON,SINTHIANG SAMBA COULIBALY,02,559,CLASSE CM 1
KOLDA,DIOULACOLON,SINTHIANG SAMBA COULIBALY,03,559,SALLE DE CLASSE
