DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MEDINA YORO FOULAH,BADION,BADION,01,578,CLASSE CM2
MEDINA YORO FOULAH,BADION,BADION,02,581,CI ECOLE ELEMENTAIRE
MEDINA YORO FOULAH,BADION,LINGUEDIE,01,426,CLASSE CE2
MEDINA YORO FOULAH,BADION,MAGASIN CEREALIER DE KOUNTHIOUDE,01,299,SALLE
MEDINA YORO FOULAH,BADION,MAGASIN CEREALIER DE SARE YORO BAMBI,01,541,SALLE
MEDINA YORO FOULAH,BADION,PIYAYE BOURE,01,306,CM 1 ECOLE ELEMENTAIRE
MEDINA YORO FOULAH,BADION,SARE BOYDO MALI,01,463,CLASSE CM2
MEDINA YORO FOULAH,BADION,SARE MOUSSAYEL,01,291,CLASSE CM2
MEDINA YORO FOULAH,BADION,SARE NDOUMBE,01,585,CLASSE CM2
MEDINA YORO FOULAH,BADION,SARE WALI,01,422,ABRI PROVISOIRE
