DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
VELINGARA,BONCONTO,AMANATOULAYE,01,218,SALLE DE CLASSE CP
VELINGARA,BONCONTO,BANTANCOUNTOU,01,197,ECOLE BANTANCOUNTOU
VELINGARA,BONCONTO,BONCONTO,01,566,ECOLE BONCONTO CLASSE CP
VELINGARA,BONCONTO,BONCONTO,02,564,ECOLE BONCONTO CLASSE CM 2
VELINGARA,BONCONTO,DAROU HIDJIRATOU,01,440,ABRI PROVISOIRE
VELINGARA,BONCONTO,DAROU HIDJIRATOU,02,439,ABRI PROVISOIRE
VELINGARA,BONCONTO,HAMDALLAYE BARKA,01,327,SALLE DE CLASSE CP
VELINGARA,BONCONTO,KODIONTE,01,215,ABRI PROVISOIRE
VELINGARA,BONCONTO,KOUNDARA KABA,01,164,ECOLE PUBLIQUE
VELINGARA,BONCONTO,MOUNTING HAMADI,01,325,CLASSE CM 1
VELINGARA,BONCONTO,PAKANE,01,105,ABRI PROVISOIRE
VELINGARA,BONCONTO,PATIN COUTA PAKANE,01,248,SALLE DE CLASSE CP
VELINGARA,BONCONTO,SARE BOSSEDIE,01,289,SALLE DE CLASSE CE 1
VELINGARA,BONCONTO,SINTHIANG PAKIGNA,01,312,SALLE DE CLASSE CE 1
VELINGARA,BONCONTO,THIANCOUNG,01,63,SALLE DE CLASSE CP
VELINGARA,BONCONTO,THIOMOLOCK TOMBONG,01,240,SALLE DE CLASSE CE 2
