DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
VELINGARA,KANDIAYE,ECOLE DIANWELI MAMADOU,01,262,SALLE DE CLASSE
VELINGARA,KANDIAYE,ECOLE SARE DIAE,01,129,CE 1
VELINGARA,KANDIAYE,ECOLE SARE KONKO,01,353,ECOLE SARE KONKOYEL CM 2
VELINGARA,KANDIAYE,FASS PATHE KANDE,01,488,CLASSE CM1
VELINGARA,KANDIAYE,KANDIAYE,01,409,CLASSE CP
VELINGARA,KANDIAYE,KANDIAYE,02,411,CM 1
VELINGARA,KANDIAYE,LINGUEWAL,01,299,CLASSE CE2
VELINGARA,KANDIAYE,MISSIRAH MAMADOU,01,122,ABRI PROVISOIRE
VELINGARA,KANDIAYE,NGOUNDAGA,01,142,CLASSE CM1
VELINGARA,KANDIAYE,NGOUNDAGA,02,142,CLASSE CE 2
VELINGARA,KANDIAYE,NIANDOUBA,01,324,CLASSE CM2
VELINGARA,KANDIAYE,SARE MADIA,01,170,CLASSE CM2
VELINGARA,KANDIAYE,SARE MADIA,02,169,CLASSE CM1
VELINGARA,KANDIAYE,TACOUDIALA,01,250,CLASSE CM1
VELINGARA,KANDIAYE,TEMENTO ALLA DIEYE,01,327,CLASSE CM1
VELINGARA,KANDIAYE,THIOUBOUCK,01,185,CLASSE CM2
VELINGARA,KANDIAYE,THIOUBOUCK,02,183,CLASSE CM 1
