DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
VELINGARA,MEDINA GOUNASSE,AFIA,01,449,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,AFIA,02,452,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,AINEMADY,01,174,SALLE CASE SANTE
VELINGARA,MEDINA GOUNASSE,AMANATOULAYE GOUNASSE,01,378,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,AMANATOULAYE GOUNASSE,02,375,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,BARAKATOU,01,448,SALLE DE CLASSE
VELINGARA,MEDINA GOUNASSE,CHARAB,01,484,MAISON COMMUNAUTAIRE
VELINGARA,MEDINA GOUNASSE,CHIFAO,01,527,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,CHIFAO,02,536,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,CHIFAO,03,525,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,CHIFAO,04,255,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,DAROU HIDJIRATOU GOUNASSE,01,408,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,DAYBATOU GOUNASSE,01,354,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,DAYBATOU GOUNASSE,02,354,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,FALAH,01,556,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,FALAH,02,136,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,FASS,01,226,SALLE CASE SANTE
VELINGARA,MEDINA GOUNASSE,KARAMATOU,01,320,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,KARAMATOU,02,320,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MEDINA CENTRE,01,582,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MEDINA CENTRE,02,579,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MEDINA CENTRE,03,580,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MEDINA CENTRE,04,578,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MEDINA CENTRE,05,580,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MEDINA CENTRE,06,579,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MEDINA PAKANE,01,329,SALLE DE CLASSE CM 1
VELINGARA,MEDINA GOUNASSE,MEDINA TOUAT,01,385,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MEDINA TOUAT,02,385,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MISSIRA FOURATH,01,581,SALLE CASE SANTE
VELINGARA,MEDINA GOUNASSE,MISSIRA KOUBA,01,198,SALLE DE CLASSE CI
VELINGARA,MEDINA GOUNASSE,MOUNDONG SANKOULE,01,282,SALLE DE CLASSE CE 2
VELINGARA,MEDINA GOUNASSE,MOUSDALIFA,01,419,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MOUSDALIFA,02,415,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MOUSFALA,01,357,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,MOUSFALA,02,354,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,NASROULAHI 1,01,442,SALLE DE CLASSE
VELINGARA,MEDINA GOUNASSE,NASROULAHI 1,02,444,SALLE DE CLASSE
VELINGARA,MEDINA GOUNASSE,NASROULAHI 2,01,396,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,NASROULAHI 2,02,395,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,NASROULAHI 3,01,565,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,NASROULAHI 3,02,565,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,NERE,01,560,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,NERE,02,561,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,OUKAZA,01,329,SALLE DE CLASSE
VELINGARA,MEDINA GOUNASSE,OUKAZA,02,328,SALLE DE CLASSE
VELINGARA,MEDINA GOUNASSE,RABAT,01,296,SALLE DE CLASSE CM2
VELINGARA,MEDINA GOUNASSE,RAMATOULAYE,01,312,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,RAMATOULAYE,02,313,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,RAMATOULAYE,03,311,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,ROUNDE,01,412,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,ROUNDE,02,413,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,SOUNATOU,01,168,ABRI PROVISOIRE
VELINGARA,MEDINA GOUNASSE,THIANCOUNG BOWE,01,262,ABRI PROVISOIRE
