DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
VELINGARA,OUASSADOU,BAFATA DEMBA,01,281,ECOLE CLASSE CM1
VELINGARA,OUASSADOU,BOYA,01,272,ECOLE CLASSE CM1
VELINGARA,OUASSADOU,DIATEL,01,406,ECOLE CLASSE CM2
VELINGARA,OUASSADOU,ECOLE DIOULAYEL,01,100,SALLE DE CLASSE
VELINGARA,OUASSADOU,ECOLE KOLODINTO FOUTA,01,131,SALLE DE CLASSE
VELINGARA,OUASSADOU,ECOLE SARE NAFA,01,211,SALLE DE CLASSE
VELINGARA,OUASSADOU,KAONE,01,326,ECOLE CLASSE CM2
VELINGARA,OUASSADOU,MADINA POUSSANG,01,213,ECOLE CLASSE CM1
VELINGARA,OUASSADOU,MISSIRA THIOURKI,01,348,ECOLE CLASSE CM1
VELINGARA,OUASSADOU,NIANAO,01,337,ECOLE CLASSE CE2
VELINGARA,OUASSADOU,NIANAO,02,339,ECOLE CLASSE CM1
VELINGARA,OUASSADOU,NIANGOURE,01,256,ECOLE CLASSE CM1
VELINGARA,OUASSADOU,OUASSADOU,01,374,ECOLE CLASSE CE2
VELINGARA,OUASSADOU,OUASSADOU,02,373,ECOLE CLASSE CM1
VELINGARA,OUASSADOU,OUASSADOU,03,374,ECOLE CLASSE CM2
VELINGARA,OUASSADOU,PAYOUNGOU,01,425,ECOLE CLASSE CM1
VELINGARA,OUASSADOU,PIRA,01,126,ECOLE CLASSE CE2
VELINGARA,OUASSADOU,PRING MAOUNDE,01,217,ECOLE PRING MAOUNDA
VELINGARA,OUASSADOU,SAHARICOUNDA,01,203,ECOLE CLASSE CM1
VELINGARA,OUASSADOU,SARE DIAE,01,130,ABRI PROVISOIRE
VELINGARA,OUASSADOU,SARE KANTA,01,141,ECOLE SARE KANTA
VELINGARA,OUASSADOU,SARE OGNA,01,358,ECOLE CLASSE CM2
