DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,BANDEGNE OUOLOF,BANDEGNE OUOLOF,01,559,ECOLE CLASSE CP
KEBEMER,BANDEGNE OUOLOF,BANDEGNE OUOLOF,02,559,ECOLE CLASSE CI
KEBEMER,BANDEGNE OUOLOF,DARA KHARA,01,296,ECOLE CLASSE CE2 A
KEBEMER,BANDEGNE OUOLOF,DIALGANE KANE,01,140,ECOLE CLASSE CE1 A
KEBEMER,BANDEGNE OUOLOF,GUEDJI SECK,01,164,ECOLE CLASSE CI
KEBEMER,BANDEGNE OUOLOF,MBADIAR,01,578,ECOLE CLASSE CP
KEBEMER,BANDEGNE OUOLOF,MBENGUENE OUOLOF,01,318,ABRI PROVISOIRE
KEBEMER,BANDEGNE OUOLOF,NDANGOUR NDIAYE,01,234,ECOLE CLASSE CI
KEBEMER,BANDEGNE OUOLOF,NDIEYE SEFOUR,01,392,ECOLE CLASSE CE 2
KEBEMER,BANDEGNE OUOLOF,NDOB DAROU MESSERE,01,496,ECOLE CLASSE CP
KEBEMER,BANDEGNE OUOLOF,NGARAF OUOLOF,01,589,ECOLE CLASSE CI
KEBEMER,BANDEGNE OUOLOF,PARBA DIENG,01,552,ECOLE CLASSE CE2 A
KEBEMER,BANDEGNE OUOLOF,PEKH TALL,01,370,ECOLE CLASSE CM 2
KEBEMER,BANDEGNE OUOLOF,PEKH TALL,02,368,ECOLE CLASSE CI
KEBEMER,BANDEGNE OUOLOF,SANTHIOU DIOCKOUL,01,123,ECOLE CLASSE CP
KEBEMER,BANDEGNE OUOLOF,SIVOL PEULH,01,574,ECOLE CLASSE CE 1
KEBEMER,BANDEGNE OUOLOF,TAYBA NDIOUGA,01,222,CLASSE CI
KEBEMER,BANDEGNE OUOLOF,THIARI LORO,01,196,ECOLE CLASSE CE 1
