DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,DIOKOUL NDIAWRIGNE,BADAR DIOP,01,421,ECOLE CLASSE CE 1
KEBEMER,DIOKOUL NDIAWRIGNE,DARA ANDAL,01,568,ECOLE CLASSE CP
KEBEMER,DIOKOUL NDIAWRIGNE,DARA ANDAL,02,83,CLASSE CI
KEBEMER,DIOKOUL NDIAWRIGNE,DAROU KEBE,01,150,ABRI PAOVISOIRE
KEBEMER,DIOKOUL NDIAWRIGNE,DIOKOUL NDIAWRIGNE,01,572,ECOLE CLASSE CE 2
KEBEMER,DIOKOUL NDIAWRIGNE,DIOKOUL NDIAWRIGNE,02,564,ECOLE CLASSE CM 2
KEBEMER,DIOKOUL NDIAWRIGNE,DIOKOUL NDIAWRIGNE,03,572,SALLE CM 1
KEBEMER,DIOKOUL NDIAWRIGNE,DIOKOUL NDIAWRIGNE,04,165,SALLE CI
KEBEMER,DIOKOUL NDIAWRIGNE,DJIGNAKH,01,342,ECOLE DJIGNACKH CLASSE CI
KEBEMER,DIOKOUL NDIAWRIGNE,GADE BRAMA,01,430,ECOLE CLASSE CE 2
KEBEMER,DIOKOUL NDIAWRIGNE,GADE KEBE,01,400,ECOLE CLASSE CP
KEBEMER,DIOKOUL NDIAWRIGNE,GADE KEBE,02,239,ECOLE CLASSE CE1
KEBEMER,DIOKOUL NDIAWRIGNE,KANENE KANE,01,410,ECOLE KANENE KANE CLASSE CI
KEBEMER,DIOKOUL NDIAWRIGNE,LOMPOUL,01,512,ECOLE CLASSE CE 1
KEBEMER,DIOKOUL NDIAWRIGNE,LOMPOUL,02,191,ECOLE CLASSE CI
KEBEMER,DIOKOUL NDIAWRIGNE,MAKA LY,01,270,ECOLE ARABE SALLE 01
KEBEMER,DIOKOUL NDIAWRIGNE,NDIAVAGNE FALL,01,229,ECOLE CLASSE CP
KEBEMER,DIOKOUL NDIAWRIGNE,NGUER NGUER,01,386,ABRI PROVISOIRE
KEBEMER,DIOKOUL NDIAWRIGNE,TAYBA AMARI MBERI,01,489,ABRI PROVISOIRE
KEBEMER,DIOKOUL NDIAWRIGNE,THIENABA,01,470,ECOLE CLASSE CE 1
KEBEMER,DIOKOUL NDIAWRIGNE,TOUNDOU MALEYE,01,164,ABRI PROVISOIRE
