DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,GUEOUL,ECOLE GUEOUL 1,01,588,CLASSE CE1A
KEBEMER,GUEOUL,ECOLE GUEOUL 1,02,586,CLASSE CM2A
KEBEMER,GUEOUL,ECOLE GUEOUL 2,01,558,CLASSE CM1
KEBEMER,GUEOUL,ECOLE GUEOUL 2,02,558,CLASSE CM2
KEBEMER,GUEOUL,ECOLE GUEOUL 2,03,114,CLASSE CI
KEBEMER,GUEOUL,ECOLE GUEOUL 3,01,567,CLASSE CM2A
KEBEMER,GUEOUL,ECOLE GUEOUL 3,02,181,CLASSE CI
KEBEMER,GUEOUL,ECOLE GUEOUL 4,01,503,CLASSE C M 2 A
KEBEMER,GUEOUL,ECOLE GUEOUL 4,02,508,CLASSE CM1
KEBEMER,GUEOUL,FOYER DES JEUNES,01,508,SALLE 1 FOYER DES JEUNES
KEBEMER,GUEOUL,FOYER DES JEUNES,02,509,SALLE 2 FOYER DES JEUNES
