DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,01,543,CLASSE 16
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,02,540,CLASSE 08
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,03,542,CLASSE 11
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,04,550,CLASSE 04
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,05,538,CLASSE 06
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,06,539,CLASSE 09
KEBEMER,KEBEMER,ECOLE CHEIKH IBRA FAYE,01,563,CLASSE CE1 B
KEBEMER,KEBEMER,ECOLE CHEIKH IBRA FAYE,02,563,CLASSE CM 2 A
KEBEMER,KEBEMER,ECOLE CHEIKH IBRA FAYE,03,564,CLASSE CM1 B
KEBEMER,KEBEMER,ECOLE CHEIKH IBRA FAYE,04,562,CLASSE CE2 A
KEBEMER,KEBEMER,ECOLE KEBEMER 5,01,546,CLASSE CM2 A
KEBEMER,KEBEMER,ECOLE KEBEMER 5,02,548,CLASSE CI
KEBEMER,KEBEMER,ECOLE KEBEMER 5,03,513,CLASSE CE2
KEBEMER,KEBEMER,ECOLE KEBEMER 5,04,436,CLASSE CM1 B
KEBEMER,KEBEMER,ECOLE KEBEMER 6,01,577,SALLE DE CLASSE CE1 B
KEBEMER,KEBEMER,ECOLE KEBEMER 6,02,573,SALLE DE CLASSE CM2 A
KEBEMER,KEBEMER,ECOLE KEBEMER 6,03,577,SALLE DE CLASSE CI B
KEBEMER,KEBEMER,ECOLE KEBEMER 6,04,575,SALLE DE CLASSE CP B
KEBEMER,KEBEMER,ECOLE KEBEMER 6,05,577,SALLE DE CLASSE CE2 A
KEBEMER,KEBEMER,ECOLE KEBEMER 7,01,480,ECOLE KEBEMER 7 CLASSE CM2
KEBEMER,KEBEMER,ECOLE KEBEMER 7,02,481,ECOLE KEBEMER 7 CLASSE CM1
KEBEMER,KEBEMER,ECOLE KEBEMER 7,03,482,ECOLE KEBEMER 7 CLASSE CE1 A
KEBEMER,KEBEMER,ECOLE KEBEMER 7,04,481,ECOLE KEBEMER 7 CLASSE CP A
KEBEMER,KEBEMER,ECOLE KEBEMER 7,05,476,CP B
KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,01,555,CLASSE CM2 B
KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,02,554,CLASSE CE1 A
KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,03,556,CLASSE CI A
KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,04,553,SALLE DE CLASSE CM2 A
KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,05,555,SALLE DE CLASSE CE2 B
KEBEMER,KEBEMER,NDAKHAR LAMANE,01,395,CLASSE CE 2
KEBEMER,KEBEMER,TOBBI DIOP,01,402,CLASSE CM 2
