DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,LORO,BAYTI MBEUSSINE,01,236,ABRI PROVISOIRE
KEBEMER,LORO,DIORO MAMA NDIAYE,01,268,ECOLE CLASSE CM1 A
KEBEMER,LORO,ECOLE LORO THIECKENE,01,351,CLASSE CE1A
KEBEMER,LORO,ECOLE LORO THIECKENE,02,352,CLASSE CM1A
KEBEMER,LORO,KABDOU,01,322,ECOLE CLASSE CM2 A
KEBEMER,LORO,KEUR AMADOU YALA,01,377,ECOLE CLASSE CE1 A
KEBEMER,LORO,KEUR AMADOU YALA,02,375,ECOLE CLASSE CM2 A
KEBEMER,LORO,KEUR SANOU DIENG,01,256,ECOLE CLASSE CI
KEBEMER,LORO,LORO NGUEYENE,01,348,ECOLE CLASSE CI
KEBEMER,LORO,LORO NGUEYENE,02,349,ECOLE CLASSE CP
KEBEMER,LORO,MBAR SECK,01,235,CASE DE SANTE
KEBEMER,LORO,MERINA KA TIDIANE,01,559,CASE DE SANTE
KEBEMER,LORO,MERINA KA TIDIANE,02,82,ABRI PROVISOIRE
KEBEMER,LORO,NDAM THILLA,01,134,CASE DE SANTE
KEBEMER,LORO,TAYIF NGANADO,01,177,ECOLE CLASSE CM2 A
KEBEMER,LORO,THIARENE SARR,01,123,ABRI PROVISOIRE
KEBEMER,LORO,THILMAKHA NGOL,01,350,ECOLE CLASSE CI
KEBEMER,LORO,THILMAKHA NGOL,02,349,ABRI PROVISOIRE
