DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,MBADIANE,DAROU KOSSO,01,361,ECOLE CLASSE CE 2
KEBEMER,MBADIANE,DAROU MINAME,01,302,ECOLE CLASSE CI
KEBEMER,MBADIANE,DAROU VAHAB,01,362,CLASSE CM1
KEBEMER,MBADIANE,MBADIANE,01,537,CLASSE CE1
KEBEMER,MBADIANE,MBADIANE,02,538,CLASSE CM1
KEBEMER,MBADIANE,NIOMRE,01,202,CASE DE SANTE
KEBEMER,MBADIANE,TAYIF DIOP,01,466,ECOLE CLASSE CE 2
KEBEMER,MBADIANE,THIAMENE 2,01,226,CASE DE SANTE
KEBEMER,MBADIANE,THIAWAGNE LALOYE,01,255,ECOLE CLASSE CE1
KEBEMER,MBADIANE,TINGUITI,01,288,ECOLE
