DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,SAGATA GUETH,BATTAL,01,275,ECOLE CLASSE CE1 A
KEBEMER,SAGATA GUETH,DEKHLE PEULH,01,349,ECOLE CLASSE CM2 A
KEBEMER,SAGATA GUETH,DIOKOUL 2,01,208,ABRI PROVISOIRE
KEBEMER,SAGATA GUETH,KANTAR DIAGNE,01,498,ECOLE CLASSE CM1 A
KEBEMER,SAGATA GUETH,KHELCOM PEULH,01,293,ECOLE CLASSE CE1 A
KEBEMER,SAGATA GUETH,KHELERE TALL,01,127,ABRI PROVISOIRE
KEBEMER,SAGATA GUETH,MAYAYE 2,01,331,ECOLE CLASSE CE1 A
KEBEMER,SAGATA GUETH,MBABOU GUEYE,01,267,ABRI PROVISOIRE
KEBEMER,SAGATA GUETH,NAMENE AMAR,01,255,ECOLE CLASSE CM1 A
KEBEMER,SAGATA GUETH,NDANCK BABOU,01,287,ECOLE CLASSE CE2 A
KEBEMER,SAGATA GUETH,NDIOBENE DIMB,01,229,ECOLE CLASSE CM1 A
KEBEMER,SAGATA GUETH,NDJIB NIASS,01,220,CASE DE SANTE
KEBEMER,SAGATA GUETH,NGUISDIAM DIOP,01,328,ABRI PROVISOIRE
KEBEMER,SAGATA GUETH,SAGATA,01,564,ECOLE CLASSE CP1 A
KEBEMER,SAGATA GUETH,SAGATA,02,560,ECOLE CLASSE CM2 A
KEBEMER,SAGATA GUETH,SAGATA,03,563,LYCEE SAGATTA GUETH
KEBEMER,SAGATA GUETH,SAGATA,04,562,ECOLE CLASSE CM1 B
KEBEMER,SAGATA GUETH,THIEGNE SAGATA,01,228,ECOLE CLASSE CI
KEBEMER,SAGATA GUETH,TOUBA KADIOR,01,347,ECOLE CLASSE CI
KEBEMER,SAGATA GUETH,TOUBA KADIOR,02,345,ECOLE CLASSE CP
KEBEMER,SAGATA GUETH,YERO BABOU,01,218,ABRI PROVISOIRE
