DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,SAM YABAL,GOULADJI,01,203,ECOLE
KEBEMER,SAM YABAL,MORE DAGA,01,276,CLASSE CI 1
KEBEMER,SAM YABAL,NDIARAP,01,138,SITE ANCIENNE MOSQUEE
KEBEMER,SAM YABAL,NGANADO BASSALI,01,299,CLASSE CE 1
KEBEMER,SAM YABAL,NGANADO BASSALI,02,300,CLASSE CE 2
KEBEMER,SAM YABAL,NGOUDIOURA,01,412,ABRI PROVISOIRE
KEBEMER,SAM YABAL,SAM YABAL,01,438,HOTEL COMMUNAUTAIRE
KEBEMER,SAM YABAL,SAM YABAL,02,437,HOTEL COMMUNAUTAIRE
KEBEMER,SAM YABAL,SAM YABAL,03,438,CASE DES TOUT-PETITS
KEBEMER,SAM YABAL,SAM YABAL,04,437,CASE DES TOUT-PETITS
KEBEMER,SAM YABAL,YABAL,01,269,CLASSE CI 1
