DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,THIOLOM FALL,BELAKHO HANE,01,451,ECOLE CLASSE CM2 A
KEBEMER,THIOLOM FALL,BELAKHO HANE,02,450,ECOLE CLASSE CM1 A
KEBEMER,THIOLOM FALL,BELAKHO HANE,03,450,ECOLE CLASSE CM1 B
KEBEMER,THIOLOM FALL,GAD AFE,01,230,ECOLE CLASSE CM1 A
KEBEMER,THIOLOM FALL,GAD AFE,02,229,ECOLE CLASSE CE1 A
KEBEMER,THIOLOM FALL,KANDALLA MBENGUE,01,298,ECOLE CLASSE CM2 A
KEBEMER,THIOLOM FALL,KEUR MORI LEYE,01,278,ECOLE CLASSE CE1 A
KEBEMER,THIOLOM FALL,KILIMANE 1,01,138,ABRI PROVISOIRE
KEBEMER,THIOLOM FALL,MASSAR DIOP,01,483,ECOLE CLASSE CM1 A
KEBEMER,THIOLOM FALL,MBENGUENE DIAWAR,01,454,ECOLE CLASSE CE1 A
KEBEMER,THIOLOM FALL,MBENGUENE DIAWAR,02,452,ECOLE CLASSE CM2 A
KEBEMER,THIOLOM FALL,MBENGUENE MBELGOR,01,338,ABRI PROVISOIRE
KEBEMER,THIOLOM FALL,NDAM MOR FADEMBA,01,541,ECOLE CLASSE CP A
KEBEMER,THIOLOM FALL,NDAT DIOKOUL,01,534,ECOLE CLASSE CE1 A
KEBEMER,THIOLOM FALL,NDIATAR FALL,01,566,ECOLE CLASSE CM1 A
KEBEMER,THIOLOM FALL,NDIATAR FALL,02,46,CLASSE CI
KEBEMER,THIOLOM FALL,NDIENGUE DIAO,01,394,ECOLE CLASSE CE1 A
KEBEMER,THIOLOM FALL,NDIENGUE DIAO,02,395,ECOLE CLASSE CM2 A
KEBEMER,THIOLOM FALL,NDIOBENE MAYAMAR,01,353,ECOLE CLASSE CI
KEBEMER,THIOLOM FALL,NGANDECK AMAR,01,146,ECOLE CLASSE CM1 A
KEBEMER,THIOLOM FALL,NGAYE NGAYE,01,280,CLASSE CI
KEBEMER,THIOLOM FALL,NGOUMBALA,01,241,ECOLE CLASSE CP1 A
KEBEMER,THIOLOM FALL,NGUIRANENE,01,227,ABRI PROVISOIRE
KEBEMER,THIOLOM FALL,THIENO DIAO,01,261,ABRI PROVISOIRE
KEBEMER,THIOLOM FALL,THIOLOM FALL,01,477,ECOLE CLASSE CE1 A
KEBEMER,THIOLOM FALL,THIOLOM FALL,02,479,ECOLE CLASSE CM2 A
KEBEMER,THIOLOM FALL,THIOLOM FALL,03,481,ECOLE CLASSE CM2 B
