DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,BARKEDJI,BARKEDJI,01,599,ECOLE BAMBOL SOW CLASSE CM2 A
LINGUERE,BARKEDJI,BARKEDJI,02,599,ECOLE BAMBOL SOW CLASSE CM1
LINGUERE,BARKEDJI,BARKEDJI,03,600,ECOLE BAMBOL SOW CLASSE CP
LINGUERE,BARKEDJI,BARKEDJI,04,600,ECOLE BAMBOL SOW CLASSE CIA
LINGUERE,BARKEDJI,BARKEDJI,05,599,ECOLE BAMBOL SOW CLASSE CIB
LINGUERE,BARKEDJI,BARKEDJI,06,599,ECOLE BAMBOL SOW CLASSE CE 1
LINGUERE,BARKEDJI,BARKEDJI,07,600,ECOLE BAMBOL SOW CLASSE CE 2
LINGUERE,BARKEDJI,BARKEDJI,08,598,GRANDE SALLE CASE DES TOUT-PETITS
LINGUERE,BARKEDJI,BOUBACK,01,109,SALLE DE CLASSE
LINGUERE,BARKEDJI,DJABAL,01,302,CLASSE ECOLE ELEMENTAIRE
LINGUERE,BARKEDJI,DJAGALY,01,550,CLASSE CM2
LINGUERE,BARKEDJI,DJAGALY,02,550,CLASSE CI
LINGUERE,BARKEDJI,DJAGALY,03,550,CLASSE CE2
LINGUERE,BARKEDJI,DJIMBANANE AMADY AMATH,01,320,ECOLE CLASSE CI
LINGUERE,BARKEDJI,GASSET OUOLOFF,01,180,ECOLE CLASSE CI
LINGUERE,BARKEDJI,LOUMBEL LANA ECOLE ELEMENTAIRE,01,276,ECOLE ELEMENTAIRE CLASSE
LINGUERE,BARKEDJI,MBOUL DJOLOFF,01,113,ABRI PROVISOIRE
LINGUERE,BARKEDJI,MOGUERE,01,262,CLASSE ECOLE ELEMENTAIRE
LINGUERE,BARKEDJI,NDILLA,01,301,CLASSE CI
LINGUERE,BARKEDJI,SAMMALY,01,332,ECOLE CLASSE CE2
LINGUERE,BARKEDJI,TORDIOL 1,01,425,CLASSE CP
LINGUERE,BARKEDJI,TOUBA LINGUERE,01,227,CLASSE CE 2
LINGUERE,BARKEDJI,TOUNG PEULH,01,440,ECOLE CLASSE CI
