DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,BOULAL,BELAL BOCKI,01,469,ABRI PROVISOIRE
LINGUERE,BOULAL,BELTHIASKY BOCKY,01,297,ABRI PROVISOIRE
LINGUERE,BOULAL,BOCKI SABOUDOU 1,01,295,CLASSE CI / CE1
LINGUERE,BOULAL,BOULAL ECOLE 1,01,484,CI
LINGUERE,BOULAL,BOULAL ECOLE 1,02,483,CP
LINGUERE,BOULAL,BOULAL ECOLE 1,03,483,CE1
LINGUERE,BOULAL,BOULAL ECOLE 1,04,482,CE2
LINGUERE,BOULAL,BOULAL ECOLE 1,05,483,CM2
LINGUERE,BOULAL,GARDY KOYLI GOOTI,01,152,ABRI PROVISOIRE
LINGUERE,BOULAL,GOUEDIA,01,255,SALLE 1
LINGUERE,BOULAL,GOUEDIA,02,255,SALLE 2
LINGUERE,BOULAL,GUELI BOULAL,01,234,ECOLE CLASSE CP
LINGUERE,BOULAL,GUELI LOUMBAL,01,207,ECOLE CLASSE CE2
LINGUERE,BOULAL,MBOUSSOBE PEULH,01,147,ECOLE CE1
LINGUERE,BOULAL,NDIAO DIEVAL,01,175,ECOLE CLASSE CE1
LINGUERE,BOULAL,PATOUDE,01,205,ECOLE ELEMENTAIRE
LINGUERE,BOULAL,THIEYENNE,01,364,ECOLE CLASSE CP / CE1
LINGUERE,BOULAL,THIEYENNE,02,364,ECOLE CLASSE CM1
LINGUERE,BOULAL,TOUBA PAKHA,01,103,ECOLE ELEMENTAIRE
LINGUERE,BOULAL,VINDOU NAMARY 1,01,271,ECOLE CLASSE CI / CE2
LINGUERE,BOULAL,YATTY 1,01,430,ABRI PROVISOIRE
