DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,DAHRA,CENTRE HUNGER PROJET,01,589,ECOLE NDIAMBOR DAHRA CE2 B
LINGUERE,DAHRA,CENTRE HUNGER PROJET,02,590,ECOLE NDIAMBOR DAHRA CM1 A
LINGUERE,DAHRA,CENTRE HUNGER PROJET,03,586,ECOLE NDIAMBOR DAHRA CM1 B
LINGUERE,DAHRA,ECOLE 4,01,584,CM1 B
LINGUERE,DAHRA,ECOLE 4,02,584,CE2 A
LINGUERE,DAHRA,ECOLE 4,03,584,CE2 B
LINGUERE,DAHRA,ECOLE 4,04,586,CE1 A
LINGUERE,DAHRA,ECOLE 4,05,585,CE1 B
LINGUERE,DAHRA,ECOLE DAHRA MBAYENE,01,595,CI A
LINGUERE,DAHRA,ECOLE DAHRA MBAYENE,02,596,CI B
LINGUERE,DAHRA,ECOLE DAHRA MBAYENE,03,595,CP A
LINGUERE,DAHRA,ECOLE DAHRA MBAYENE,04,595,CP B
LINGUERE,DAHRA,ECOLE DAHRA MBAYENE,05,597,CE1 A
LINGUERE,DAHRA,ECOLE DAHRA MBAYENE,06,595,CE2 A
LINGUERE,DAHRA,ECOLE DAHRA MBAYENE,07,596,CE2 B
LINGUERE,DAHRA,ECOLE MAGUETTE NDIAYE,01,574,CI A
LINGUERE,DAHRA,ECOLE MAGUETTE NDIAYE,02,575,CI B
LINGUERE,DAHRA,ECOLE MAGUETTE NDIAYE,03,576,CP A
LINGUERE,DAHRA,ECOLE MAGUETTE NDIAYE,04,574,CP B
LINGUERE,DAHRA,ECOLE MAGUETTE NDIAYE,05,574,CE2 A
LINGUERE,DAHRA,ECOLE MAGUETTE NDIAYE,06,576,CE2 B
LINGUERE,DAHRA,ECOLE MAGUETTE NDIAYE,07,571,CM1 A
LINGUERE,DAHRA,ECOLE MUNICIPALE FORAGE,01,586,CI A
LINGUERE,DAHRA,ECOLE MUNICIPALE FORAGE,02,587,CP A
LINGUERE,DAHRA,ECOLE MUNICIPALE FORAGE,03,587,CP C
LINGUERE,DAHRA,ECOLE MUNICIPALE FORAGE,04,586,CE1 A
LINGUERE,DAHRA,ECOLE MUNICIPALE FORAGE,05,587,CM1 A
LINGUERE,DAHRA,ECOLE MUNICIPALE FORAGE,06,585,CM2 A
LINGUERE,DAHRA,ECOLE MUNICIPALE FORAGE,07,586,CM2 B
LINGUERE,DAHRA,ECOLE NGOM,01,565,CLASSE CP B
LINGUERE,DAHRA,ECOLE NGOM,02,565,CLASSE CE1 B
LINGUERE,DAHRA,ECOLE NGOM,03,564,CLASSE CM1 A
LINGUERE,DAHRA,ECOLE NGOM,04,560,CLASSE CM2 B
LINGUERE,DAHRA,ECOLE NGOM,05,210,CLASSE CE2 A
