DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,DEALY,BALLODJI,01,268,ECOLE ELEMENTAIRE CLASSE CE1
LINGUERE,DEALY,BELLY 2,01,447,ECOLE CLASSE CP
LINGUERE,DEALY,DAROU KHOUDOSS 1,01,285,ECOLE ELEMENTAIRE CLASSE CM1
LINGUERE,DEALY,DAROU SALAM MOURIDE,01,287,HUNGER PROJECT
LINGUERE,DEALY,DEALY ECOLE,01,491,ECOLE ELEMENTAIRE CLASSE CE1
LINGUERE,DEALY,DEALY ECOLE,02,491,CE2
LINGUERE,DEALY,DEALY ECOLE,03,490,CP
LINGUERE,DEALY,DEALY ECOLE,04,492,ECOLE ELEMENTAIRE CLASSE CM1
LINGUERE,DEALY,FOGNY DIATBY NDIALLA,01,470,ABRI PROVISOIRE
LINGUERE,DEALY,FOYLOLDE DJENGUEL,01,185,ABRI PROVISOIRE
LINGUERE,DEALY,KADE NDIAYENE,01,227,ECOLE CM1
LINGUERE,DEALY,KARKOUTHIE,01,275,ECOLE SALLE 3
LINGUERE,DEALY,LOUMBY VAVALDE SERERE,01,375,ECOLE CP
LINGUERE,DEALY,NGOHE DJOLOFF,01,339,ECOLE ELEMENTAIRE CLASSE CM1 / CM2
LINGUERE,DEALY,NGUILO ELHADJI MAMADOU,01,326,ABRI PROVISOIRE
LINGUERE,DEALY,NIAPABA MBAPP,01,334,ECOLE ELEMENTAIRE CLASSE CM1 / CM2
LINGUERE,DEALY,SAM FALL,01,472,ECOLE ELEMENTAIRE CLASSE CI / CP
LINGUERE,DEALY,TOUBA BOUSTANE,01,174,MAGASIN VILLAGEOIS
LINGUERE,DEALY,TOUBA SAM,01,189,ABRI PROVISOIRE
LINGUERE,DEALY,TOUBA SOURANG,01,285,ECOLE CM1
LINGUERE,DEALY,VINDOU LOUMBAL,01,490,ECOLE SALLE 1
LINGUERE,DEALY,VINDOU LOUMBAL,02,488,ECOLE SALLE 2
LINGUERE,DEALY,WANDE SERERE,01,233,ECOLE CLASSE CE1 / CE2
