DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,MBOULA,BOBARAL,01,255,ABRI PROVISOIRE
LINGUERE,MBOULA,FEDIOBE,01,137,ECOLE FEDIOBE
LINGUERE,MBOULA,KILIF DECK 1,01,348,SALLE ECOLE ELEMENTAIRE
LINGUERE,MBOULA,KILIF SENENE,01,221,SALLE ECOLE ELEMENTAIRE
LINGUERE,MBOULA,KODIALAL 2,01,407,ECOLE KODIALAL 2
LINGUERE,MBOULA,KOYLI ALPHA,01,476,ECOLE KOYLI ALPHA
LINGUERE,MBOULA,KOYLI ALPHA,02,208,ECOLE KOYLI ALPHA
LINGUERE,MBOULA,LOUMBY ARABOBE,01,184,SALLE ECOLE ELEMENTAIRE
LINGUERE,MBOULA,MBANDE,01,181,SALLE ECOLE ELEMENTAIRE
LINGUERE,MBOULA,MBAYE AWA,01,448,ECOLE MBAYE AWA
LINGUERE,MBOULA,MBAYE AWA,02,445,FOYER DES JEUNES MBAYE AWA
LINGUERE,MBOULA,MBELOGNE BOULBY,01,326,ABRI PROVISOIRE
LINGUERE,MBOULA,MBEYENE OUOLOF,01,291,ECOLE MBEYENE OUOLOF
LINGUERE,MBOULA,MBOULA,01,434,ECOLE MBOULA
LINGUERE,MBOULA,MBOULA,02,431,ECOLE MBOULA SALLE CLASSE
LINGUERE,MBOULA,MBOYNANE,01,409,ECOLE MBOYNANE
LINGUERE,MBOULA,NEGUE OUOLOF,01,315,ECOLE NEGUE OUOLOF
