DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,OUARKHOKH,BALEL CISSE,01,383,CLASSE CM1
LINGUERE,OUARKHOKH,DAROU SALAM LOUMBY,01,295,CLASSE CI
LINGUERE,OUARKHOKH,DIAKHAYE PEULH,01,329,ABRI PROVISOIRE
LINGUERE,OUARKHOKH,DICK LESS,01,118,SALLE ECOLE ELEMENTAIRE
LINGUERE,OUARKHOKH,ECOLE DOUNDODJI,01,390,CLASSE CM1
LINGUERE,OUARKHOKH,ECOLE DOUNDODJI,02,389,CLASSE CM2
LINGUERE,OUARKHOKH,ECOLE THIEBE,01,377,CLASSE C2
LINGUERE,OUARKHOKH,GOREE THIONGUE 1,01,312,CLASSE CI
LINGUERE,OUARKHOKH,GOREE WALY 1,01,342,ABRI PROVISOIRE
LINGUERE,OUARKHOKH,GUENENE,01,243,ABRI PROVISOIRE
LINGUERE,OUARKHOKH,KILIM,01,80,ECOLE FRANCO-ABARE
LINGUERE,OUARKHOKH,LOUMBY FORAGE 1,01,192,ABRI PROVISOIRE
LINGUERE,OUARKHOKH,MBADIENE,01,146,CLASSE CM2
LINGUERE,OUARKHOKH,MEDINA DIALY,01,259,ABRI PROVISOIRE
LINGUERE,OUARKHOKH,NDADANE,01,170,CLASSE CI
LINGUERE,OUARKHOKH,NDAR NDECK 2,01,159,ABRI PROVISOIRE
LINGUERE,OUARKHOKH,NGARAFFE,01,400,CLASSE CI
LINGUERE,OUARKHOKH,NGUITH,01,546,CLASSE C2
LINGUERE,OUARKHOKH,NGUITH,02,546,CLASSE CM1
LINGUERE,OUARKHOKH,NIOUKOUL KAW,01,236,ABRI PROVISOIRE
LINGUERE,OUARKHOKH,OUARKHOKH,01,557,CLASSE CM1
LINGUERE,OUARKHOKH,OUARKHOKH,02,562,CLASSECM2
LINGUERE,OUARKHOKH,OUARKHOKH,03,154,ECOLE SALLE DE CLASSE
LINGUERE,OUARKHOKH,PITEL,01,275,ABRI PROVISOIRE
LINGUERE,OUARKHOKH,SOMME DANDE,01,171,ABRI PROVISOIRE
LINGUERE,OUARKHOKH,TALLY 1,01,569,CLASSE CM2
LINGUERE,OUARKHOKH,TALLY 1,02,33,ECOLE ELEMENTAIRE
LINGUERE,OUARKHOKH,THIEBE COLY,01,165,ABRI PROVISOIRE
LINGUERE,OUARKHOKH,THILLA OUARKHOKH,01,556,CLASSE CM1
LINGUERE,OUARKHOKH,THILLA OUARKHOKH,02,64,ECOLE ELEMENTAIRE
LINGUERE,OUARKHOKH,THIOMBE,01,123,ABRI PROVISOIRE
