DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,SAGATTA DJOLOF,DAGA BARRY,01,290,ABRI PROVISOIRE
LINGUERE,SAGATTA DJOLOF,DIOUBAL NAMASS,01,238,ABRI PROVISOIRE
LINGUERE,SAGATTA DJOLOF,DONGHO,01,236,ABRI PROVISOIRE
LINGUERE,SAGATTA DJOLOF,ECOLE SAGATTA,01,550,CE1
LINGUERE,SAGATTA DJOLOF,ECOLE SAGATTA,02,548,CM1
LINGUERE,SAGATTA DJOLOF,ECOLE SAGATTA,03,543,CM2
LINGUERE,SAGATTA DJOLOF,ECOLE SAGATTA,04,304,CI
LINGUERE,SAGATTA DJOLOF,GANG OUOLOF,01,357,ECOLE CP
LINGUERE,SAGATTA DJOLOF,KHATALY,01,405,ECOLE CE1
LINGUERE,SAGATTA DJOLOF,MADENE,01,414,SALLE ECOLE ELEMENTAIRE
LINGUERE,SAGATTA DJOLOF,MADENE,02,50,ECOLE ELEMENTAIRE SALLE 2
LINGUERE,SAGATTA DJOLOF,MBACKE DJOLOFF,01,503,ECOLE CM1
LINGUERE,SAGATTA DJOLOF,NDIAYENE SAPENDA,01,344,ECOLE CP
LINGUERE,SAGATTA DJOLOF,NDRAME,01,271,ECOLE CLASSE CP
LINGUERE,SAGATTA DJOLOF,NGASSAMA PANAL,01,379,ECOLE ELEMENTAIRE CE1
LINGUERE,SAGATTA DJOLOF,SINE,01,394,ABRI PROVISOIRE
LINGUERE,SAGATTA DJOLOF,SINE,02,393,ABRI PROVISOIRE
