DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,TESSEKERE FORAGE,AMALY,01,410,CASE DE SANTE AMALY
LINGUERE,TESSEKERE FORAGE,AMALY,02,410,BATIMENT EX SODESE AMALY
LINGUERE,TESSEKERE FORAGE,BOGAL DANAYEL,01,221,ABRI PROVISOIRE A COTE FORAGE
LINGUERE,TESSEKERE FORAGE,DIABE SOWNABE,01,288,SALLE ECOLE ELEMENTAIRE
LINGUERE,TESSEKERE FORAGE,GANINAYEL,01,284,SALLE ECOLE ELEMENTAIRE
LINGUERE,TESSEKERE FORAGE,TESSEKERE FORAGE,01,535,ECOLE TESSEKERE FORAGE
LINGUERE,TESSEKERE FORAGE,TESSEKERE FORAGE,02,535,HOTEL COMMUNAUTAIRE
LINGUERE,TESSEKERE FORAGE,TESSEKERE FORAGE,03,535,EX MAISON COMMUNAUTIARE
LINGUERE,TESSEKERE FORAGE,TESSEKERE FORAGE,04,533,ECOLE ELEMENTAIRE
LINGUERE,TESSEKERE FORAGE,THIOVE TIDAR 2,01,243,ABRI PROVISOIRE
LINGUERE,TESSEKERE FORAGE,WIDOU THIENGOLY,01,421,ECOLE SALLE CANTINE SCOLAIRE
LINGUERE,TESSEKERE FORAGE,WIDOU THIENGOLY,02,420,ECOLE SALLE COURS MOYEN
LINGUERE,TESSEKERE FORAGE,WIDOU THIENGOLY,03,421,CENTRE PAPE WIDOU THIENGOLY
LINGUERE,TESSEKERE FORAGE,WIDOU THIENGOLY,04,420,ABRI PROVISOIRE
