DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,THIEL,ASRE BANY,01,229,ABRI PROVISOIRE
LINGUERE,THIEL,DIOULKY,01,401,CLASSE CM1
LINGUERE,THIEL,DOLY CENTRE,01,584,CLASSE CP
LINGUERE,THIEL,DOLY NIATH,01,367,ECOLE CLASSE CI
LINGUERE,THIEL,KOUMOUK,01,374,SALLE ECOLE ELEMENTAIRE
LINGUERE,THIEL,MOLA 2,01,255,SALLE ECOLE ELEMENTAIRE
LINGUERE,THIEL,PATACOUR,01,571,CLASSE CI
LINGUERE,THIEL,PATACOUR,02,43,CLASSE CE2
LINGUERE,THIEL,SILATE OUOLOF,01,360,SALLE ECOLE ELEMENTAIRE
LINGUERE,THIEL,THIEL,01,591,CLASSE CM2
LINGUERE,THIEL,THIEL,02,592,CLASSE CE2
LINGUERE,THIEL,THIEL,03,591,CLASSE CI
LINGUERE,THIEL,THIEL,04,591,CLASSE CM1
LINGUERE,THIEL,THIEL,05,591,CLASSE CE 1
