DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,GUET ARDO,DEKHOLE 1,01,520,ECOLE PRIMAIRE CLASSE CE1
LOUGA,GUET ARDO,DEKHOLE 1,02,120,ECOLE PRIMAIRE
LOUGA,GUET ARDO,DIAMOY GAYE,01,282,ECOLE PRIMAIRE CLASSE CE2
LOUGA,GUET ARDO,DIAWAR SARR,01,266,ECOLE PRIMAIRE CLASSE CE1
LOUGA,GUET ARDO,DIONABE,01,271,ECOLE PRIMAIRE CLASSE CP
LOUGA,GUET ARDO,ECOLE PRIMAIRE THIAR PEULH,01,255,SALLE DE CLASSE
LOUGA,GUET ARDO,GARKI,01,286,ECOLE PRIMAIRE CLASSE CE1
LOUGA,GUET ARDO,GUET ARDO,01,575,ECOLE PRIMAIRE CLASSE CM2
LOUGA,GUET ARDO,GUET ARDO,02,575,ECOLE PRIMAIRE CLASSE CE1
LOUGA,GUET ARDO,NDIOBENE NDEM,01,359,ECOLE PRIMAIRE CLASSE CE 2
LOUGA,GUET ARDO,PATAR NAR,01,136,ECOLE PRIMAIRE CLASSE CM 2
LOUGA,GUET ARDO,THIALAGA NIANE,01,138,ECOLE PRIMAIRE
LOUGA,GUET ARDO,TOURE FALL,01,183,ECOLE PRIMAIRE CLASSE CE2
