DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,KEUR MOMAR SARR,AYNOUMANE,01,233,CLASSE CE
LOUGA,KEUR MOMAR SARR,BADIENG,01,160,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,BRAR,01,258,CLASSE CM2
LOUGA,KEUR MOMAR SARR,DAKHAR KOBA,01,102,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,DIAMINAR KEUR KANE,01,356,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,DIASSARNABE ALI,01,221,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,DIASSARNABE ALI,02,221,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,DIOKOUL,01,233,CLASSE CE1
LOUGA,KEUR MOMAR SARR,ECOLE LOUMBOUL 2,01,246,SALLE DE CLASSE
LOUGA,KEUR MOMAR SARR,FETO,01,471,CLASSE CM1
LOUGA,KEUR MOMAR SARR,GANKET BALA,01,587,CLASSE CM2
LOUGA,KEUR MOMAR SARR,GANKET BALA,02,76,CLASSE CE2
LOUGA,KEUR MOMAR SARR,GANKET GUINTH,01,321,CLASSE CM1
LOUGA,KEUR MOMAR SARR,GUENE GOUDI 1,01,104,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,GUENE GOUDI 2,01,183,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,KEUR IBRA BINTA,01,425,CLASSE CP
LOUGA,KEUR MOMAR SARR,KEUR MOMAR SARR,01,536,CLASSE CM2
LOUGA,KEUR MOMAR SARR,KEUR MOMAR SARR,02,537,CLASSE CM1
LOUGA,KEUR MOMAR SARR,KEUR MOMAR SARR,03,535,CLASSE CE2
LOUGA,KEUR MOMAR SARR,KEUR MOMAR SARR,04,534,CLASSE CE1
LOUGA,KEUR MOMAR SARR,KEUR SAMBA THIAMA,01,389,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,LATHIANTE,01,314,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,LOBOUDOU,01,345,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,LOBOUDOU,02,345,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,LOMBI GUIDO,01,134,CASE DE SANTE
LOUGA,KEUR MOMAR SARR,MAKA PEULH,01,207,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,MAYEL,01,309,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,MBANAR KEUR YORO TACKO,01,260,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,MBARE BANT,01,155,CLASSE CM1
LOUGA,KEUR MOMAR SARR,MIDIO,01,207,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,NDIALBANABE MAKA,01,139,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,NDIAO BOUDI,01,165,CLASSE CP
LOUGA,KEUR MOMAR SARR,NDIBA,01,113,ECOLE ELEMENTAIRE CLASSE CM1 -CE1
LOUGA,KEUR MOMAR SARR,NDIMB,01,542,CLASSE CM2
LOUGA,KEUR MOMAR SARR,NDIMB,02,543,CLASSE CM1
LOUGA,KEUR MOMAR SARR,NDIMB,03,542,SALLE DE CLASSE
LOUGA,KEUR MOMAR SARR,NDIMB PEULH,01,375,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,NDOUR 1,01,289,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,NDOUR 2 ROBBO,01,225,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,NDOUR 2 TELLER,01,423,CLASSE CE1
LOUGA,KEUR MOMAR SARR,NDOUR LOBOUDOU,01,334,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,NGONAKE,01,365,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,SAM KEBE,01,177,CLASSE CM1
LOUGA,KEUR MOMAR SARR,SAM KEBE,02,177,CLASSE CE1
LOUGA,KEUR MOMAR SARR,TEUD BITI,01,441,ABRI PROVISOIRE
LOUGA,KEUR MOMAR SARR,THIAPEDIA,01,406,ABRI PROVISOIRE
