DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,LEONA,BAYTI GUEYE,01,409,CLASSE CP2
LOUGA,LEONA,BAYTI GUEYE,02,410,CLASSE CE1
LOUGA,LEONA,BEUT LAMINE,01,417,CLASSE CP
LOUGA,LEONA,BOUNDOU VOULA 1,01,145,ABRI PROVISOIRE
LOUGA,LEONA,DAO 2,01,310,ABRI PROVISOIRE
LOUGA,LEONA,GABANE OUOLOF,01,240,CLASSE CP
LOUGA,LEONA,GABANE PEULH 2,01,483,ABRI PROVISOIRE
LOUGA,LEONA,GABAR,01,591,CLASSE CM2
LOUGA,LEONA,GALOU DAMEL,01,381,CLASSE CE2
LOUGA,LEONA,GNAYAM,01,573,CLASSE CM1
LOUGA,LEONA,GNAYAM,02,41,CLASSE CE2
LOUGA,LEONA,KEUR KOURA,01,316,CLASSE CE1
LOUGA,LEONA,KEUR MANDIOL,01,206,ABRI PROVISOIRE
LOUGA,LEONA,LEONA,01,473,CLASSE CP
LOUGA,LEONA,LEONA,02,472,CLASSE CM2
LOUGA,LEONA,LEONA,03,473,CLASSE CE1
LOUGA,LEONA,MAKA TARE,01,479,ABRI PROVISOIRE
LOUGA,LEONA,MBAYE MBAYE MAPATHE,01,574,CLASSE CM1
LOUGA,LEONA,MBAYE MBAYE MAPATHE,02,99,ECOLE SALLE DE CLASSE
LOUGA,LEONA,MERINA SIMON,01,136,ABRI PROVISOIRE
LOUGA,LEONA,NDEMBA 2,01,372,ABRI PROVISOIRE
LOUGA,LEONA,NDIAMB FALL,01,465,CLASSE CE1
LOUGA,LEONA,NDIAYENE PEULH SALIF,01,353,ABRI PROVISOIRE
LOUGA,LEONA,NGOUFAT 1,01,425,ABRI PROVISOIRE
LOUGA,LEONA,POTOU 1,01,516,MAGASIN
LOUGA,LEONA,POTOU 1,02,515,MAGASIN
LOUGA,LEONA,SAGUE DJIBI YAGUE,01,387,CLASSE CM1
LOUGA,LEONA,SAGUE SATHIEL,01,487,CLASSE CE1
LOUGA,LEONA,SAGUE SATHIEL,02,126,CLASSE CE2
LOUGA,LEONA,SANTHIOU DJADJI,01,583,ABRI PROVISOIRE
LOUGA,LEONA,SIER PEULH,01,154,ABRI PROVISOIRE
LOUGA,LEONA,TARE,01,463,CLASSE CE1
LOUGA,LEONA,TARE,02,462,CLASSE CE2
LOUGA,LEONA,THIOVOR,01,536,CLASSE CP
LOUGA,LEONA,THIOVOR,02,536,CLASSE CE1
LOUGA,LEONA,VAKHALDIAM,01,183,ABRI PROVISOIRE
LOUGA,LEONA,VASSOUMASSAL,01,419,CLASSE CP
LOUGA,LEONA,VEKHE,01,320,ABRI PROVISOIRE
LOUGA,LEONA,YENGOUL MBOYO GUEDJI,01,402,ABRI PROVISOIRE
