DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,LOUGA,CEM MASSAMBA SIGA DIOUF,01,575,SALLE 1 - BATIMENT A
LOUGA,LOUGA,CEM MASSAMBA SIGA DIOUF,02,574,SALLES 2 - BATIMENT B
LOUGA,LOUGA,CEM MASSAMBA SIGA DIOUF,03,576,SALLE  3 - BATIMENT B
LOUGA,LOUGA,CEM MODOU AWA BALLA MBACKE,01,472,SALLE 1 - BATIMENT A
LOUGA,LOUGA,CEM MODOU AWA BALLA MBACKE,02,473,SALLE 2 - BATIMENT B
LOUGA,LOUGA,CEM MODOU AWA BALLA MBACKE,03,471,SALLE 3 - BATIMENT C
LOUGA,LOUGA,ECOLE ARTELLERIE NORD,01,581,CLASSE - CM2 A
LOUGA,LOUGA,ECOLE ARTELLERIE NORD,02,577,CLASSE - CM2 B
LOUGA,LOUGA,ECOLE ARTELLERIE NORD,03,577,CLASSE - CM1
LOUGA,LOUGA,ECOLE ARTELLERIE NORD,04,580,CLASSE - CE2
LOUGA,LOUGA,ECOLE ARTELLERIE NORD,05,581,CLASSE - CE2 B
LOUGA,LOUGA,ECOLE ARTELLERIE NORD,06,571,CLASSE CI A
LOUGA,LOUGA,ECOLE ARTELLERIE NORD,07,569,CLASSE CI B
LOUGA,LOUGA,ECOLE ARTELLERIE NORD,08,231,CLASSE CM1 B
LOUGA,LOUGA,ECOLE ARTILLERIE SUD,01,476,CLASSE - CM2A
LOUGA,LOUGA,ECOLE ARTILLERIE SUD,02,475,CLASSE - CM2B
LOUGA,LOUGA,ECOLE ARTILLERIE SUD,03,474,CLASSE - CM2C
LOUGA,LOUGA,ECOLE ARTILLERIE SUD,04,473,CLASSE - CM1 A
LOUGA,LOUGA,ECOLE ARTILLERIE SUD,05,474,CLASSE - CM1 B
LOUGA,LOUGA,ECOLE ARTILLERIE SUD,06,473,CLASSE - CE2 B
LOUGA,LOUGA,ECOLE ARTILLERIE SUD,07,475,CLASSE - CP2 A
LOUGA,LOUGA,ECOLE ARTILLERIE SUD,08,475,CLASSE CP2B
LOUGA,LOUGA,ECOLE DIEMENE,01,548,CLASSE - CM2
LOUGA,LOUGA,ECOLE DIEMENE,02,549,CLASSE - CE2
LOUGA,LOUGA,ECOLE DIEMENE,03,546,CLASSE CM1
LOUGA,LOUGA,ECOLE GRAND LOUGA 1,01,526,CLASSE - CM1 A
LOUGA,LOUGA,ECOLE GRAND LOUGA 1,02,530,CLASSE - CM2 B
LOUGA,LOUGA,ECOLE GRAND LOUGA 1,03,529,CLASSE - CE1 B
LOUGA,LOUGA,ECOLE GRAND LOUGA 1,04,530,CLASSE CE2 A
LOUGA,LOUGA,ECOLE GRAND LOUGA 2,01,539,CLASSE - CM2 B
LOUGA,LOUGA,ECOLE GRAND LOUGA 2,02,554,CLASSE - CM1 A
LOUGA,LOUGA,ECOLE GRAND LOUGA 2,03,252,CLASSE CP 2
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA EST,01,549,CLASSE - CM1 A
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA EST,02,558,CLASSE - CM2 A
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA EST,03,555,CLASSE - CI B
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA EST,04,554,CLASSE CE1 B
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA EST,05,544,CLASSE CM1 B
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA EST,06,550,CLASSE CE2 A
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA EST,07,543,CLASSE CM2 B
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,01,440,CLASSE - CI A
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,02,440,CLASSE - CP2 B
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,03,439,CLASSE - CP2 A
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,04,440,CLASSE - CE1 B
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,05,439,CLASE - CE1 A
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,06,439,CLASSE - CE1 C
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,07,440,CLASSE CM1 B
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA NORD,08,436,CLASSE CM1 A
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA SUD,01,577,CLASSE CE1 A
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA SUD,02,579,CLASSE CM2 B
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA SUD,03,577,CLASSE CM2 A
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA SUD,04,578,CLASSE CP B
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA SUD,05,579,CLASSE CP A
LOUGA,LOUGA,ECOLE KEUR SERIGNE LOUGA SUD,06,581,CLASSE CM1 A
LOUGA,LOUGA,ECOLE MANAR EL OUDAH,01,600,CLASSE 2ND B
LOUGA,LOUGA,ECOLE MANAR EL OUDAH,02,599,CLASSE CE1 B
LOUGA,LOUGA,ECOLE MANAR EL OUDAH,03,598,CLASSE CE1 A
LOUGA,LOUGA,ECOLE MANAR EL OUDAH,04,598,CLASSE CE2 A
LOUGA,LOUGA,ECOLE MANAR EL OUDAH,05,599,CLASSE CP FRANCO
LOUGA,LOUGA,ECOLE MANAR EL OUDAH,06,598,CLASSE CI A FRANCO
LOUGA,LOUGA,ECOLE MANAR EL OUDAH,07,599,PETITE SECTION
LOUGA,LOUGA,ECOLE MANAR EL OUDAH,08,599,GRANDE SECTION
LOUGA,LOUGA,ECOLE MANAR EL OUDAH,09,599,CLASSE MOYENNE SECTION
LOUGA,LOUGA,ECOLE MARBATH,01,568,CLASSE CM2 A
LOUGA,LOUGA,ECOLE MARBATH,02,565,CLASSE CM2 B
LOUGA,LOUGA,ECOLE MARBATH,03,573,CLASSE CM2 C
LOUGA,LOUGA,ECOLE MARBATH,04,568,CLASSE CM1 A
LOUGA,LOUGA,ECOLE MARBATH,05,572,CLASSE CM1 B
LOUGA,LOUGA,ECOLE MARBATH,06,560,CLASSE CE1
LOUGA,LOUGA,ECOLE MARBATH,07,564,CLASSE CP2
LOUGA,LOUGA,ECOLE MARBATH,08,261,CLASSE CP5
LOUGA,LOUGA,ECOLE NDIANG FALL,01,240,CLASSE CE1
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,01,491,CLASSE CM2 B
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,02,488,CLASSE CM2 A
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,03,487,CLASSE CE1 A
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,04,486,CLASSE CM1 B
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,05,487,CLASSE CM1 A
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,06,488,CLASSE CE2 A
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,07,491,CLASSE CE2 B
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,08,487,CLASSE CI1A
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,09,487,CLASSE CP2 B
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,10,484,CLASSE CI2 A
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,11,490,CLASSE CP2 A
LOUGA,LOUGA,ECOLE NDIANG SANTHIABA NORD,12,491,CLASSE CM2 C
LOUGA,LOUGA,ECOLE REGIONALE 1,01,598,CLASSE CM2
LOUGA,LOUGA,ECOLE REGIONALE 1,02,597,CLASSE CM1 A
LOUGA,LOUGA,ECOLE REGIONALE 1,03,599,CLASSE CM1 B
LOUGA,LOUGA,ECOLE REGIONALE 1,04,598,CLASSE CI
LOUGA,LOUGA,ECOLE REGIONALE 1,05,599,CLASSE CI A
LOUGA,LOUGA,ECOLE SANTHIABA,01,581,CLASSE CE1 A
LOUGA,LOUGA,ECOLE SANTHIABA,02,586,CLASSE CE2 A
LOUGA,LOUGA,ECOLE SANTHIABA,03,579,CLASSE CM1 B
LOUGA,LOUGA,ECOLE SANTHIABA,04,576,CLASSE CI 1 B
LOUGA,LOUGA,ECOLE SANTHIABA,05,580,CLASSE CE1 B
LOUGA,LOUGA,ECOLE SANTHIABA,06,584,CLASSE CM2 A
LOUGA,LOUGA,ECOLE SANTHIABA,07,569,CLASSE CE2 B
LOUGA,LOUGA,ECOLE SANTHIABA,08,564,CLASSE CP A
LOUGA,LOUGA,ECOLE SANTHIABA,09,213,CLASSE CPB
LOUGA,LOUGA,ECOLE SIMON BOLIVAR,01,465,CLASSE CE2 A
LOUGA,LOUGA,ECOLE THIOKHNA 1,01,452,CLASSE CM2 A
LOUGA,LOUGA,ECOLE THIOKHNA 1,02,450,CLASSE CM2 B
LOUGA,LOUGA,ECOLE THIOKHNA 1,03,451,CLASSE CI 1 A
LOUGA,LOUGA,ECOLE THIOKHNA 1,04,452,CLASSE CP2 B
LOUGA,LOUGA,ECOLE THIOKHNA 1,05,449,CLASSE CE2 B
LOUGA,LOUGA,FRANCO ARABE NDIANG BAME MBODJI,01,422,CLASSE CE2 A
LOUGA,LOUGA,FRANCO ARABE NDIANG BAME MBODJI,02,423,CLASSE CM1 A
LOUGA,LOUGA,FRANCO ARABE NDIANG BAME MBODJI,03,424,CLASSE CI A
LOUGA,LOUGA,SERVICE REGIONAL DES TP,01,491,ECOLE KEUR .S. BARA SALLE DE CLASSE
LOUGA,LOUGA,SERVICE REGIONAL DES TP,02,492,ECOLE KEUR .S. BARA SALLE DE CLASSE
LOUGA,LOUGA,SERVICE REGIONAL DES TP,03,490,ECOLE KEUR .S. BARA SALLE DE CLASSE
LOUGA,LOUGA,VILLAGE S O S,01,575,CLASSE CM2 A
LOUGA,LOUGA,VILLAGE S O S,02,581,CLASSE CP2 B
LOUGA,LOUGA,VILLAGE S O S,03,575,CLASSE CE2 B
LOUGA,LOUGA,VILLAGE S O S,04,185,SALLE DE CLASSE
