DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,MBEDIENE,BARIDIAM CISSE,01,369,CASE SANTE
LOUGA,MBEDIENE,DAROU NDIAYE,01,245,ABRI PROVISOIRE
LOUGA,MBEDIENE,DEUIL SEUMB,01,370,CLASSE CI
LOUGA,MBEDIENE,DIADJI NDIAYE,01,208,CASE SANTE
LOUGA,MBEDIENE,KEUR SACOKI,01,183,CASE DE SANTE
LOUGA,MBEDIENE,KEUR SOULEYE LO,01,206,CASE DE SANTE
LOUGA,MBEDIENE,KHANDA NDIOBENE,01,186,CLASSE ARABE
LOUGA,MBEDIENE,MBEDIENE,01,569,CLASSE CI
LOUGA,MBEDIENE,NDAVENE ALE,01,541,CLASSE CE1
LOUGA,MBEDIENE,NDAVENE DETHIALAO,01,377,CLASSE CE1
LOUGA,MBEDIENE,NDIEKINANE OUOLOF,01,193,ABRI
LOUGA,MBEDIENE,PAAR CISSE,01,432,CASE SANTE
LOUGA,MBEDIENE,PAL KHELI,01,240,CLASSE CP
LOUGA,MBEDIENE,PALLENE BALLA FALL,01,219,ABRI
LOUGA,MBEDIENE,SINE DIENG,01,359,MAGASIN
LOUGA,MBEDIENE,THIECKENE PEULH,01,238,CLASSE CE1
LOUGA,MBEDIENE,YABTIL DIOP,01,535,CASE DE SANTE
