DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,NGUER MALAL,BELEL KELLY 2,01,203,ABRI PROVISOIRE
LOUGA,NGUER MALAL,BOKI ILO,01,176,ABRI PROVISOIRE
LOUGA,NGUER MALAL,BOUDI SAKHO,01,456,CLASSE CM2
LOUGA,NGUER MALAL,BOUDI SAKHO,02,458,CLASSE CM1
LOUGA,NGUER MALAL,BOUDI THIEKENE,01,212,CLASSE CM2
LOUGA,NGUER MALAL,BOYO 1,01,404,CLASSE CE1
LOUGA,NGUER MALAL,DAROU NOUROU CODIOLEL,01,254,ABRI PROVISOIRE
LOUGA,NGUER MALAL,DEPAL MBAYE,01,278,ABRI PROVISOIRE
LOUGA,NGUER MALAL,DEPAL MBAYE,02,277,ABRI PROVISOIRE
LOUGA,NGUER MALAL,DIATMEL KEUR NGATAM,01,343,ABRI PROVISOIRE
LOUGA,NGUER MALAL,GARANGUEL PEULH,01,363,ABRI PROVISOIRE
LOUGA,NGUER MALAL,GOUY MBEUT,01,552,CLASSE CM2
LOUGA,NGUER MALAL,GOUY MBEUT,02,552,CLASSE CM1
LOUGA,NGUER MALAL,GOUY MBEUT,03,119,ECOLE GOUYE MBEUTH CLASSE CMP
LOUGA,NGUER MALAL,KEUR BALLA SEYE,01,478,CLASSE CM2
LOUGA,NGUER MALAL,KEUR BALLA SEYE,02,475,CE2 ECOLE ELEMENTAIRE
LOUGA,NGUER MALAL,KEUR MADIALE,01,572,CLASSE CM1
LOUGA,NGUER MALAL,KEUR MADIALE,02,37,ECOLE ELEMENTAIRE KEUR MADIALE CM2
LOUGA,NGUER MALAL,MBELOGNE,01,375,CLASSE CM1
LOUGA,NGUER MALAL,MBELOGNE,02,374,CLASSE CM2
LOUGA,NGUER MALAL,NAYOBE,01,562,CLASSE CE2 A
LOUGA,NGUER MALAL,NAYOBE,02,557,CLASSE CM1
LOUGA,NGUER MALAL,NAYOBE,03,216,CLASSE CP B
LOUGA,NGUER MALAL,NDALARLOU GAYE,01,279,ABRI PROVISOIRE
LOUGA,NGUER MALAL,NGADIALAM MAYORO,01,228,ABRI PROVISOIRE
LOUGA,NGUER MALAL,NGUER MALAL,01,525,CLASSE CM2
LOUGA,NGUER MALAL,NGUER MALAL,02,527,CLASSE CM1
LOUGA,NGUER MALAL,NGUER MALAL,03,524,SALLE DE CLASSE
LOUGA,NGUER MALAL,Lieu de vote,Bureau,Electeurs,
LOUGA,NGUER MALAL,PATHE POULLO,01,277,ABRI PROVISOIRE
LOUGA,NGUER MALAL,PETHIADJI,01,300,ABRI PROVISOIRE
LOUGA,NGUER MALAL,THIOUMADE 2,01,197,ABRI PROVISOIRE
LOUGA,NGUER MALAL,YARAL FALL,01,296,CLASSE CE2
LOUGA,NGUER MALAL,YARI DAKHAR,01,337,CLASSE CE1
LOUGA,NGUER MALAL,YERAL SOW,01,407,ABRI PROVISOIRE
LOUGA,NGUER MALAL,YERAL THIAM,01,538,ABRI PROVISOIRE
