DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,NIOMRE,DIAKHASLENE KEBE,01,216,CLASSE CE1
LOUGA,NIOMRE,ECOLE DE KEUR MOR ANTA AYIP,01,184,CLASSE CI
LOUGA,NIOMRE,ECOLE ELEMENTAIRE TIOUBENE,01,132,CLASSE CE2
LOUGA,NIOMRE,KEUR CODE ALASSANE,01,244,CLASSE ARABE
LOUGA,NIOMRE,KEUR DAM,01,170,CLASSE CI
LOUGA,NIOMRE,KEUR IBRA MARAM,01,384,CLASSE CE2
LOUGA,NIOMRE,NDAM KHAB,01,368,ABRI
LOUGA,NIOMRE,NDIA GOUREY,01,352,CLASSE CM1
LOUGA,NIOMRE,NDIA GOUREY,02,352,CE1 ECOLE ELEMENTAIRE
LOUGA,NIOMRE,NDIAKHATE NDIEYRI,01,233,CLASSE VACANTE
LOUGA,NIOMRE,NDOGAL DIENG,01,196,ABRI
LOUGA,NIOMRE,NDOUKOUK,01,451,CLASSE CP
LOUGA,NIOMRE,NGAGNAKH DIENG,01,293,CLASSE CM2
LOUGA,NIOMRE,NIOMRE,01,574,CLASSE CM2A
LOUGA,NIOMRE,NIOMRE,02,571,CLASSE CE2A
LOUGA,NIOMRE,NIOMRE,03,578,CLASSE CE1A
LOUGA,NIOMRE,NIOMRE,04,571,CM1A
LOUGA,NIOMRE,NIOMRE,05,109,CLASSE CE1 B
LOUGA,NIOMRE,NIOMRE THIENG 1,01,441,CLASSE CP
LOUGA,NIOMRE,NIOMRE THIENG 2,01,213,CLASSE CE2B
LOUGA,NIOMRE,PAKHA SOW,01,354,CLASSE CE2
LOUGA,NIOMRE,TACKO BISSAP,01,355,CLASSE CI
LOUGA,NIOMRE,TANIM NGAGNAKH,01,230,CLASSE CP
LOUGA,NIOMRE,TANIM NIOMRE,01,453,CLASSE CM1
