DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LOUGA,SAKAL,BARALE,01,343,CLASSE CM1
LOUGA,SAKAL,BARALE,02,342,ECOLE SALLE DE CLASSE
LOUGA,SAKAL,GADE NDEMBA OUOLOF,01,333,CE 1
LOUGA,SAKAL,KADIAR PEULH,01,189,CLASSE CE1
LOUGA,SAKAL,KEUR IBRA NIANG,01,445,CLASSE CE1
LOUGA,SAKAL,KEUR MANDIAYE BAKARY,01,463,CLASSE CE2
LOUGA,SAKAL,KEUR MEISSA GAYE,01,318,CLASSE CM1
LOUGA,SAKAL,KEUR MEISSA GAYE,02,318,CE2 ECOLE ELEMENTAIRE
LOUGA,SAKAL,KEUR PATHE SANTHIE,01,343,ABRI PROVISOIRE
LOUGA,SAKAL,KEUR SAMPENDEL,01,563,ABRI PROVISOIRE
LOUGA,SAKAL,MASSAR 2,01,571,CLASSE CM1
LOUGA,SAKAL,MBANDE PEULH,01,365,CLASSE CP
LOUGA,SAKAL,MBEKHAL PEULH,01,200,ABRI PROVISOIRE
LOUGA,SAKAL,NDABE TALL,01,322,CLASSE CE 2
LOUGA,SAKAL,NDAVASS DIAGNE,01,540,CLASSE CM1
LOUGA,SAKAL,NDIAMATHIE FALL,01,382,ABRI PROVISOIRE
LOUGA,SAKAL,NDIEYE SATOURE,01,347,ABRI PROVISOIRE
LOUGA,SAKAL,NDIOBENE MBATAR,01,588,ABRI PROVISOIRE
LOUGA,SAKAL,NGADJI SAR,01,579,CLASSE CE1
LOUGA,SAKAL,NGADJI SAR,02,45,CLASSE CP1
LOUGA,SAKAL,NGUICK FALL,01,351,CLASSE CM2
LOUGA,SAKAL,NGUICK FALL,02,352,CLASSE CP2
LOUGA,SAKAL,PENEDJI,01,325,ABRI PROVISOIRE
LOUGA,SAKAL,RIMBAKH SYLL,01,300,CLASSE CP
LOUGA,SAKAL,ROYE DIEYE,01,540,CLASSE CM1
LOUGA,SAKAL,SAKAL,01,482,CLASSE CM1
LOUGA,SAKAL,SAKAL,02,481,CLASSE CP
LOUGA,SAKAL,SAKAL,03,483,CLASSE CE2
LOUGA,SAKAL,SAKAL,04,483,CLASSE CM 2
LOUGA,SAKAL,SAMBA NGARA,01,204,ABRI PROVISOIRE
LOUGA,SAKAL,SANTHIOU MERINA,01,453,ABRI PROVISOIRE
LOUGA,SAKAL,THIALLA KEBE,01,324,ABRI PROVISOIRE
LOUGA,SAKAL,VINDOU,01,392,ABRI PROVISOIRE
LOUGA,SAKAL,YAMANE SECK,01,378,ABRI PROVISOIRE
