DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KANEL,AOURE,AOURE,1,556,ECOLE CLASSE CI
KANEL,AOURE,AOURE,2,556,ECOLE CLASSE CE1
KANEL,AOURE,AOURE,3,557,ECOLE CLASSE CE2
KANEL,AOURE,AOURE,4,557,ECOLE CLASSE CM1
KANEL,AOURE,AOURE,5,552,CM 2 A
KANEL,AOURE,AOURE,6,554,SALLE DE CLASSE
KANEL,AOURE,BOKISSABOUDOU,1,399,ECOLE CLASSE CI
KANEL,AOURE,BOULBI,1,365,ABRI PROVISOIRE
KANEL,AOURE,DIALLOUBE,1,595,ECOLE CLASSE CI
KANEL,AOURE,DIALLOUBE,2,594,ECOLE CLASSE CE2
KANEL,AOURE,DIAMOUGUEL,1,522,ECOLE CLASSE CI
KANEL,AOURE,DIAMOUGUEL,2,519,ECOLE CLASSE CP
KANEL,AOURE,DIAMOUGUEL,3,522,ECOLE CLASSE CM1
KANEL,AOURE,DIAOBE KOBILO,1,263,ECOLE SALLE DE CLASSE
KANEL,AOURE,DIAOBE KOBILO,2,158,ECOLE SALLE DE CLASSE
KANEL,AOURE,DOUDE BAGUE,1,214,ABRI PROVISOIRE
KANEL,AOURE,DOUNDE,1,508,ECOLE CLASSE CM1
KANEL,AOURE,DOUNDE,2,510,ECOLE CLASSE CI
KANEL,AOURE,DOUNDE,3,509,ECOLE SALLE DE CLASSE
KANEL,AOURE,GODIOVEL,1,388,ABRI PROVISOIRE
KANEL,AOURE,GOUREL DARA,1,264,ECOLE SALLE DE CLASSE
KANEL,AOURE,HAMDALLAYE,1,234,ECOLE SALLE DE CLASSE
KANEL,AOURE,LOBOUGAL,1,108,ECOLE SALLE DE CLASSE
KANEL,AOURE,LOUGUE NODI,1,260,ECOLE SALLE DE CLASSE
KANEL,AOURE,MAYEL NDAGANE,1,127,ECOLE SALLE DE CLASSE
KANEL,AOURE,NDIOTT,1,436,ECOLE CLASSE CI
KANEL,AOURE,NDIOTT,2,437,CP
KANEL,AOURE,NIANGANA THIEDEL,1,218,ABRI PROVISOIRE
KANEL,AOURE,PATOUKI ORIENTAL,1,168,ABRI PROVISOIRE
KANEL,AOURE,SINDOU,1,186,ECOLE SALLE DE CLASSE
KANEL,AOURE,VALEL,1,461,ECOLE SALLE DE CLASSE
KANEL,AOURE,VALEL,2,462,ECOLE SALLE DE CLASSE
KANEL,AOURE,YERIMALE TOROBE,1,565,ECOLE CLASSE CI
KANEL,AOURE,YERIMALE TOROBE,2,563,ECOLE CLASSE CE1
