DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KANEL,BOKILADJI,ADABERE,1,586,ECOLE CLASSE CI
KANEL,BOKILADJI,ADABERE,2,588,ECOLE CLASSE CM2
KANEL,BOKILADJI,ALANA,1,569,ABRI PROVISOIRE
KANEL,BOKILADJI,ALANA,2,51,ABRI PROVISOIRE
KANEL,BOKILADJI,APPE DIAOUBE,1,414,ECOLE CLASSE CI
KANEL,BOKILADJI,APPE DIAOUBE,2,413,ECOLE SALLE DE CLASSE
KANEL,BOKILADJI,BABANGOL,1,484,ECOLE CLASSE CI
KANEL,BOKILADJI,BOKILADJI,1,594,ECOLE CLASSE CI
KANEL,BOKILADJI,BOKILADJI,2,594,ECOLE CLASSE CM2
KANEL,BOKILADJI,BOKILADJI,3,593,CE1
KANEL,BOKILADJI,BONDJI WALI,1,327,ECOLE CLASSE CI
KANEL,BOKILADJI,BONDJI WALI,2,326,ECOLE CLASSE CP
KANEL,BOKILADJI,BONDJI WALI,3,329,ECOLE CLASSE CE2
KANEL,BOKILADJI,FADIARA,1,462,ECOLE CLASSE CI
KANEL,BOKILADJI,GANGUEL MAKA,1,579,ECOLE CLASSE CI
KANEL,BOKILADJI,GANGUEL MAKA,2,576,ECOLE CLASSE CE1
KANEL,BOKILADJI,GANGUEL MAKA,3,65,ECOLE SALLE DE CLASSE
KANEL,BOKILADJI,GAOUDE BOFFE,1,399,ECOLE CLASSE CI
KANEL,BOKILADJI,GAOUDE BOFFE,2,398,ECOLE CLASSE CP
KANEL,BOKILADJI,KAWAL,1,528,SALLE DE CLASSE
KANEL,BOKILADJI,KAWAL,2,113,SALLE DE CLASSE
KANEL,BOKILADJI,LOBALI,1,555,ECOLE CLASSE CI
KANEL,BOKILADJI,LOBALI,2,564,ECOLE CLASSE CM1
KANEL,BOKILADJI,LOBALI,3,190,SALLE DE CLASSE
KANEL,BOKILADJI,OURO MBOULEL,1,585,ECOLE CLASSE CI
KANEL,BOKILADJI,SINTHIOU FADIARA,1,408,ECOLE CLASSE CI
KANEL,BOKILADJI,SINTHIOU FADIARA,2,409,SALLE DE CLASSE
KANEL,BOKILADJI,THIAGNAF,1,569,ECOLE CLASSE CE1
KANEL,BOKILADJI,THIAGNAF,2,41,ECOLE SALLE DE CLASSE
KANEL,BOKILADJI,YACINE LACKE,1,501,ECOLE CLASSE CI
KANEL,BOKILADJI,YACINE LACKE,2,502,ECOLE CLASSE CM1
KANEL,BOKILADJI,YACINE LACKE,3,501,SALLE DE CLASSE
