DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,1,585,CLASSE CE1A
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,2,584,CLASSE CM1B
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,3,587,CLASSE CM1A
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,4,584,CLASSE CE2A
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,5,586,CLASSE CM2A
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,6,584,CLASSE CE1C
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,7,584,SALLE DE CLASSE
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,8,585,SALLE DE CLASSE
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,9,585,SALLE CTP
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,10,585,SALLE CTP
KANEL,HAMADI HOUNARE,ECOLE 1 HAMADI OUNARE,11,577,SALLE CTP
