DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KANEL,NDENDORY,ANDI YARI,1,577,CLASSE CE1
KANEL,NDENDORY,BAPALEL,1,443,CLASSE CI
KANEL,NDENDORY,BAPALEL,2,445,SALLE DE CLASSE
KANEL,NDENDORY,BARMATHIAL,1,513,CLASSE CM2
KANEL,NDENDORY,BOKI,1,157,ABRI PROVISOIRE
KANEL,NDENDORY,DAIBA,1,444,CLASSE CM2
KANEL,NDENDORY,DIAMALY,1,213,SALLE DE CLASSE
KANEL,NDENDORY,GOUREL HADJI,1,353,CLASSE CM 2
KANEL,NDENDORY,KELLOL,1,330,SALLE DE CLASSE
KANEL,NDENDORY,LORDOUGA,1,180,SALLE DE CLASSE
KANEL,NDENDORY,MANDIOUMBA,1,124,SALLE DE CLASSE
KANEL,NDENDORY,NDEINDORI,1,555,CLASSE CE2
KANEL,NDENDORY,NDEINDORI,2,559,CLASSE CI
KANEL,NDENDORY,NDEINDORI,3,560,CLASSE CE 1
KANEL,NDENDORY,NDEINDORI,4,556,CLASSE CM2
KANEL,NDENDORY,NDEINDORI,5,558,ECOLE CLASSE CP
KANEL,NDENDORY,NDEINDORI,6,561,ECOLE CLASSE CM1
KANEL,NDENDORY,NDEINDORI,7,560,SALLE DE CLASSE
KANEL,NDENDORY,NGANO,1,559,CLASSE CM2
KANEL,NDENDORY,NGANO,2,548,CLASSE CE2
KANEL,NDENDORY,NGANO,3,133,SALLE DE CLASSE
KANEL,NDENDORY,ORNDOLDE,1,568,CLASSE CE1
KANEL,NDENDORY,ORNDOLDE,2,575,CLASSE CM1
KANEL,NDENDORY,ORNDOLDE,3,570,CLASSE CM2
KANEL,NDENDORY,SAVADOGUEL,1,29,SALLE DE CLASSE
KANEL,NDENDORY,SENO PALEL,1,510,CLASSE CP
KANEL,NDENDORY,SENO PALEL,2,515,CLASSE CE 2
KANEL,NDENDORY,SENO PALEL,3,506,CLASSE CM2
KANEL,NDENDORY,SENO PALEL,4,463,SALLE DE CLASSE
KANEL,NDENDORY,TEKINGUEL,1,544,CLASSE CM2
KANEL,NDENDORY,TEKINGUEL,2,544,SALLE DE CLASSE
KANEL,NDENDORY,WENDOU NODI,1,536,SALLE DE CLASSE
KANEL,NDENDORY,WENDOU NODI,2,536,SALLE DE CLASSE
KANEL,NDENDORY,WINDE DIOHE,1,219,CLASSE CE1
