DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KANEL,SINTHIOU BAMAMBE BANADJI,BANADJI,1,600,CLASSE CP
KANEL,SINTHIOU BAMAMBE BANADJI,BANADJI,2,599,CLASSE CE2
KANEL,SINTHIOU BAMAMBE BANADJI,BANADJI,3,599,ECOLE SALLE DE CLASSE
KANEL,SINTHIOU BAMAMBE BANADJI,SINTHIOU BAMAMBE,1,578,CLASSE CPA
KANEL,SINTHIOU BAMAMBE BANADJI,SINTHIOU BAMAMBE,2,579,CLASSE CE1B
KANEL,SINTHIOU BAMAMBE BANADJI,SINTHIOU BAMAMBE,3,582,CLASSE CE2A
KANEL,SINTHIOU BAMAMBE BANADJI,SINTHIOU BAMAMBE,4,578,CLASSE CM1B
KANEL,SINTHIOU BAMAMBE BANADJI,SINTHIOU BAMAMBE,5,578,CLASSE CIA
KANEL,SINTHIOU BAMAMBE BANADJI,SINTHIOU BAMAMBE,6,578,CLASSE CM2A
KANEL,SINTHIOU BAMAMBE BANADJI,SINTHIOU BAMAMBE,7,584,CLASSE CE1A
KANEL,SINTHIOU BAMAMBE BANADJI,SINTHIOU BAMAMBE,8,566,SALLE DE CLASSE
KANEL,SINTHIOU BAMAMBE BANADJI,SINTHIOU BAMAMBE,9,568,SALLE DE CLASSE
KANEL,SINTHIOU BAMAMBE BANADJI,SINTHIOU BAMAMBE,10,570,SALLE DE CLASSE
KANEL,SINTHIOU BAMAMBE BANADJI,SINTHIOU BAMAMBE,11,566,SALLE DE CLASSE
