DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KANEL,WOURO SIDY,BOW,1,500,CLASSE CI
KANEL,WOURO SIDY,BOW,2,501,SALLE DE CLASSE
KANEL,WOURO SIDY,DOLOL,1,307,CLASSE CP
KANEL,WOURO SIDY,ECOLE SORINGHO SEBBE,1,499,CLASSE CE1A
KANEL,WOURO SIDY,ECOLE SORINGHO SEBBE,2,501,CLASSE CM1B
KANEL,WOURO SIDY,ECOLE SORINGHO SEBBE,3,501,SALLE DE CLASSE
KANEL,WOURO SIDY,FETE BOVE,1,207,SALLE DE CLASSE
KANEL,WOURO SIDY,FORA DIAWARA,1,424,CLASSE CM2
KANEL,WOURO SIDY,FOUMIHARA DEMBOUBE,1,552,ECOLE SALLE DE CLASSE
KANEL,WOURO SIDY,FOUMIHARA DEMBOUBE,2,62,ECOLE SALLE DE CLASSE
KANEL,WOURO SIDY,FOUMIHARA DIAMWELY,1,472,CLASSE CM2
KANEL,WOURO SIDY,FOUMIHARA DIOBE,1,365,CLASSE CM1
KANEL,WOURO SIDY,FOUMIHARA DIOBE,2,362,CLASSE CI ECOLE
KANEL,WOURO SIDY,LEWE DAMGA,1,461,CLASSE CE2
KANEL,WOURO SIDY,MADINA TOROBE,1,503,CLASSE CE1
KANEL,WOURO SIDY,MADINA TOROBE,2,501,CLASSE CM2
KANEL,WOURO SIDY,MBOUNG,1,30,ABRI PROVISOIRE
KANEL,WOURO SIDY,MBOUNGUIEL,1,92,ABRI PROVISOIRE
KANEL,WOURO SIDY,NAMARI,1,593,ABRI PROVISOIRE
KANEL,WOURO SIDY,NGHAR,1,48,ABRI PROVISOIRE
KANEL,WOURO SIDY,OURO SIDI,1,569,CLASSE CE2
KANEL,WOURO SIDY,OURO SIDI,2,565,CLASSE CM2
KANEL,WOURO SIDY,OURO SIDI,3,572,SALLE DE CLASSE
KANEL,WOURO SIDY,OURO SIDI,4,106,SALLE DE CLASSE
KANEL,WOURO SIDY,RANEROU ORIENTAL,1,13,ABRI PROVISOIRE
KANEL,WOURO SIDY,SINTHIANE,1,513,CLASSE CP
KANEL,WOURO SIDY,SINTHIANE,2,514,CLASSE CE2
KANEL,WOURO SIDY,SINTHIANE,3,515,CLASSE CM2
KANEL,WOURO SIDY,SINTHIANE,4,515,CLASSE CI ECOLE
KANEL,WOURO SIDY,SORINGHO POULAR,1,439,CLASSE CM1
KANEL,WOURO SIDY,SORINGHO POULAR,2,439,ECOLE SALLE DE CLASSE
KANEL,WOURO SIDY,THIALI MAKA,1,416,CLASSE CM1
KANEL,WOURO SIDY,THIALI MAKA,2,414,ECOLE SALLE DE CLASSE
KANEL,WOURO SIDY,THIALY SOUBALO,1,564,SALLE DE CLASSE
KANEL,WOURO SIDY,THIALY SOUBALO,2,41,SALLE DE CLASSE
KANEL,WOURO SIDY,THIEMPING,1,562,CLASSE CE1
KANEL,WOURO SIDY,THIEMPING,2,561,CLASSE CM2
KANEL,WOURO SIDY,THIEMPING,3,564,SALLE DE CLASSE
KANEL,WOURO SIDY,THIEMPING,4,159,ECOLE SALLE DE CLASSE
KANEL,WOURO SIDY,VENDOU ALY,1,154,SALLE DE CLASSE
