DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MATAM,BOKIDIAVE,BALEL PATHE,1,141,SALLE DE CLASSE
MATAM,BOKIDIAVE,BALEL PATHE,2,133,SALLE DE CLASSE
MATAM,BOKIDIAVE,BOKIDIAVE SARAKOLE,1,573,CLASSE CM2 A
MATAM,BOKIDIAVE,BOKIDIAVE SARAKOLE,2,575,CLASSE CM2 B
MATAM,BOKIDIAVE,BOKIDIAVE SARAKOLE,3,574,CLASSE CM1 A
MATAM,BOKIDIAVE,BOKIDIAVE SARAKOLE,4,574,CLASSE CM1 B
MATAM,BOKIDIAVE,BOKIDIAVE TOUCOULEUR,1,543,CLASSE CE1 A
MATAM,BOKIDIAVE,BOKIDIAVE TOUCOULEUR,2,547,CLASSE CE1 B
MATAM,BOKIDIAVE,BOKIDIAVE TOUCOULEUR,3,562,CLASSE CE2 A
MATAM,BOKIDIAVE,BOKIDIAVE TOUCOULEUR,4,554,CLASSE CE2 B
MATAM,BOKIDIAVE,BOKIDIAVE TOUCOULEUR,5,264,ECOLE BOKIDIAWE1 CLASSE CP
MATAM,BOKIDIAVE,DIAMEL GAOUDAL,1,435,ECOLE GAOUDAL 2/ CLASSE CM 2
MATAM,BOKIDIAVE,DIOLOL DIAOBE,1,369,CLASSE CM 2
MATAM,BOKIDIAVE,DIOLOL DIAOBE,2,368,CLASSE CE 2
MATAM,BOKIDIAVE,DIOLOL DIAOBE,3,367,CLASSE CP
MATAM,BOKIDIAVE,DONDOU,1,549,CLASSE CM2 A
MATAM,BOKIDIAVE,DONDOU,2,548,CLASSE CM2 B
MATAM,BOKIDIAVE,DONDOU,3,549,CLASSE CM1 A
MATAM,BOKIDIAVE,DONDOU,4,547,CLASSE CM1B
MATAM,BOKIDIAVE,DONDOU,5,543,CLASSE CE2A
MATAM,BOKIDIAVE,DONDOU,6,551,CLASSE CE2B
MATAM,BOKIDIAVE,DOUMGA OURO ALPHA,1,570,CLASSE CM2A
MATAM,BOKIDIAVE,DOUMGA OURO ALPHA,2,566,CLASSE CM2B
MATAM,BOKIDIAVE,DOUMGA OURO ALPHA,3,574,CLASSE CM1A
MATAM,BOKIDIAVE,DOUMGA OURO ALPHA,4,567,CLASSE CE2
MATAM,BOKIDIAVE,DOUMGA OURO ALPHA,5,398,ECOLE DOUMGA OURO ALPHA 1 CM1 B
MATAM,BOKIDIAVE,DOUMGA OURO THIERNO,1,463,CLASSE CM 2
MATAM,BOKIDIAVE,DOUMGA OURO THIERNO,2,461,CLASSE CE2
MATAM,BOKIDIAVE,DOUMGA RINDIAW,1,538,CLASSE CM 2
MATAM,BOKIDIAVE,DOUMGA RINDIAW,2,534,CLASSE CM 1
MATAM,BOKIDIAVE,ECOLE DIOLOL YALALBE,1,552,ECOLE / CLASSE CI
MATAM,BOKIDIAVE,ECOLE DIOVOL,1,426,ECOLE / CLASSE CP
MATAM,BOKIDIAVE,ECOLE KIRIRE 1,1,594,ECOLE / CLASSE CE1
MATAM,BOKIDIAVE,ECOLE MOW,1,343,ECOLE / CLASSE CI
MATAM,BOKIDIAVE,ECOLE PADE BOYNGAL,1,163,ECOLE PADE BOYNGAL CLASSE CM2
MATAM,BOKIDIAVE,GAOL,1,508,CLASSE CM 2
MATAM,BOKIDIAVE,GAOL,2,509,CLASSE CM 1
MATAM,BOKIDIAVE,GAOUDAL,1,421,CLASSE CM 2
MATAM,BOKIDIAVE,GAOUDAL,2,419,CLASSE CM 1
MATAM,BOKIDIAVE,GUIRAYE,1,576,CLASSE CM 2
MATAM,BOKIDIAVE,GUIRAYE,2,125,CLASSE CP
MATAM,BOKIDIAVE,KATOTE,1,500,CLASSE CM 2
MATAM,BOKIDIAVE,KAVEL DIALLOUBE,1,472,CLASSE CM 2
MATAM,BOKIDIAVE,KAVEL DIALLOUBE,2,470,CLASSE CM 1
MATAM,BOKIDIAVE,KAVEL DIALLOUBE,3,470,CLASSE CE 2
MATAM,BOKIDIAVE,MBAKHNA 1,1,563,CLASSE CM 2
MATAM,BOKIDIAVE,MBAKHNA 1,2,561,CLASSE CM 1
MATAM,BOKIDIAVE,MBOLOYEL,1,476,CLASSE CM 2
MATAM,BOKIDIAVE,MBOLOYEL,2,476,CLASSE CM 1
MATAM,BOKIDIAVE,SADEL,1,531,CLASSE CM2 A
MATAM,BOKIDIAVE,SADEL,2,539,CLASSE CM2 B
MATAM,BOKIDIAVE,SADEL,3,533,CLASSE CM1 A
MATAM,BOKIDIAVE,SADEL,4,539,CLASSE CE 2 ECOLE 1
MATAM,BOKIDIAVE,SADEL,5,381,CLASSE SADEL 1 CLASSE CM1 B
MATAM,BOKIDIAVE,SARACOURO DIALLOUBE,1,394,CLASSE CE2
MATAM,BOKIDIAVE,SARACOURO DIALLOUBE,2,335,SALLE DE CLASSE
MATAM,BOKIDIAVE,THIEHEL SEBBE,1,533,SALLE DE CLASSE
