DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MATAM,DABIA,BARGA,1,436,ECOLE BARGA CLASSE CM2
MATAM,DABIA,DABIA ODEDJI,1,522,CLASSE CM2A
MATAM,DABIA,DABIA ODEDJI,2,529,CLASSE CM2B
MATAM,DABIA,DABIA ODEDJI,3,513,CLASSE CM1A
MATAM,DABIA,DABIA ODEDJI,4,243,CLASSE CP
MATAM,DABIA,DIAL PECHEURS,1,572,ECOLE CLASSE CM2
MATAM,DABIA,DIAL PECHEURS,2,575,ECOLE CLASSE CE2
MATAM,DABIA,DIAL PECHEURS,3,112,ABRI PROVISOIRE
MATAM,DABIA,DIONGTO,1,407,CLASSE CM1
MATAM,DABIA,DIONGTO,2,407,CLASSE CM2
MATAM,DABIA,ECOLE SYLLA,1,262,CLASSE CI
MATAM,DABIA,GABABE PECHEURS,1,453,CLASSE CM1
MATAM,DABIA,GABABE PECHEURS,2,453,SALLE DE CLASSE
MATAM,DABIA,GOUDOUDE DIOBE,1,489,CLASSE CI
MATAM,DABIA,GOUDOUDE DIOBE,2,359,SALLE DE CLASSE
MATAM,DABIA,GOUDOUDE NDOUETBE,1,573,CLASSE CE2
MATAM,DABIA,GOUDOUDE NDOUETBE,2,579,CLASSE CM1
MATAM,DABIA,GOUDOUDE NDOUETBE,3,255,SALLE DE CLASSE CP
MATAM,DABIA,KOBILO DIADIABE,1,544,ECOLE KOBILO DIAKESBE CE2A
MATAM,DABIA,KOBILO DIADIABE,2,543,ECOLE KOBILO DIAKESBE CM1B
MATAM,DABIA,KOBILO DIADIABE,3,544,ECOLE KOBILO DIAKESBE CM2B
MATAM,DABIA,KOBILO DIAKESBE,1,566,ECOLE KOBILO 2 CLASSE C1
MATAM,DABIA,KOBILO DIAKESBE,2,569,ECOLE KOBILO 2 CLASSE CE2
MATAM,DABIA,KOBILO TOROBE,1,562,CLASSE CPA
MATAM,DABIA,KOBILO TOROBE,2,559,CLASSE CPB
MATAM,DABIA,KOBILO TOROBE,3,559,CLASSE CE 1 A ECOLE
MATAM,DABIA,MOLLE OUALO,1,153,ABRI PROVISOIRE
MATAM,DABIA,SARE LIOU,1,553,CLASSE CM1
MATAM,DABIA,SARE LIOU,2,351,SALLE DE CLASSE
MATAM,DABIA,SINTHIOU DIAMBOR,1,526,CLASSE CM2
