DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM CIVOL,1,595,ECOLE AGNAM CIVOL CLASSE CP
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM CIVOL,2,593,ECOLE AGNAM CIVOL CLASSE CE2
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM CIVOL,3,592,ECOLE AGNAM CIVOL CLASSE CM1
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM CIVOL,4,595,ECOLE AGNAM CIVOL CLASSE CM2
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM CIVOL,5,594,ECOLE AGNAM CIVOL CLASSE
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM CIVOL,6,597,ABRI PROVISOIRE
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM GODO,1,519,CLASSE CE2
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM GODO,2,517,CLASSE CME2
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM GOLI,1,557,ECOLE AGNAM GOLI CLASSE CM2
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM GOLI,2,558,ECOLE AGNAM GOLI CLASSE CE2A
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM GOLI,3,556,ECOLE AGNAM GOLI CLASSE CM1A
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM GOLI,4,555,ECOLE AGNAM GOLI CLASSE CM1B
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM GOLI,5,558,ECOLE AGNAM GOLI CLASSE CE2B
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM THIODAYE,1,581,ECOLE AGNAM THIODAYE CE2A
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM THIODAYE,2,578,ECOLE AGNAM THIODAYE CM1A
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM THIODAYE,3,580,ECOLE AGNAM THIODAYE CM2A
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM THIODAYE,4,580,ECOLE AGNAM THIODAYE CM2B
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM THIODAYE,5,581,ECOLE AGNAM THIODAYE CLASSE
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM THIODAYE,6,583,ECOLE AGNAM THIODAYE CLASSE CE2 B
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM TOULEL THIALLE,1,551,CLASSE CE2
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM TOULEL THIALLE,2,555,CLASSE CM1
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM TOULEL THIALLE,3,562,CLASSE CM 2 ECOLE
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM TOULEL THIALLE,4,380,ABRI PROVISOIRE
MATAM,DES AGNAM (AGNAM CIVOL),AGNAM TOULEL THIALLE,5,383,CLASSE CM2
MATAM,DES AGNAM (AGNAM CIVOL),ECOLE AGNAM LIDOUBE,1,465,CLASSE CE2
MATAM,DES AGNAM (AGNAM CIVOL),ECOLE AGNAM LIDOUBE,2,465,CLASSE CM2
MATAM,DES AGNAM (AGNAM CIVOL),ECOLE SINTHIOU BOUMAKA,1,491,CLASSE CI
MATAM,DES AGNAM (AGNAM CIVOL),ECOLE SINTHIOU BOUMAKA,2,487,CLASSE CP
MATAM,DES AGNAM (AGNAM CIVOL),ECOLE SINTHIOU BOUMAKA,3,440,CLASSE CE1
MATAM,DES AGNAM (AGNAM CIVOL),ECOLE SINTHIOU BOUMAKA,4,440,CLASSE CE2
MATAM,DES AGNAM (AGNAM CIVOL),MBERLA BELE,1,489,ECOLE MBERLA BELE CLASSE CI
MATAM,DES AGNAM (AGNAM CIVOL),MBERLA BELE,2,485,ECOLE MBERLA BELE CLASSE
MATAM,DES AGNAM (AGNAM CIVOL),MBERLA BELE,3,492,ABRI PROVISOIRE
MATAM,DES AGNAM (AGNAM CIVOL),NDIAFFANE BELTHINDI,1,581,SALLE DE CLASSE
MATAM,DES AGNAM (AGNAM CIVOL),NDIAFFANE BELTHINDI,2,582,SALLE DE CLASSE CP
MATAM,DES AGNAM (AGNAM CIVOL),NDIAFFANE SOROKOUM,1,556,CLASSE CE2
MATAM,DES AGNAM (AGNAM CIVOL),NDIAFFANE SOROKOUM,2,551,CLASSE CM1
MATAM,DES AGNAM (AGNAM CIVOL),NDIAFFANE SOROKOUM,3,537,ABRI PROVISOIRE
MATAM,DES AGNAM (AGNAM CIVOL),NDIAFFANE SOROKOUM,4,538,CLASSE CP
MATAM,DES AGNAM (AGNAM CIVOL),SIEGE ALDA AGNAM OURO CIRE,1,499,ECOLE OURO CIRE CLASSE CI
MATAM,DES AGNAM (AGNAM CIVOL),SIEGE ALDA AGNAM OURO CIRE,2,501,ECOLE OURO CIRE BUREAU DIR.
MATAM,DES AGNAM (AGNAM CIVOL),SIEGE ALDA AGNAM OURO CIRE,3,501,SALLE DE CLASSE
MATAM,DES AGNAM (AGNAM CIVOL),SIEGE ALDA AGNAM OURO CIRE,4,500,SALLE DE CLASSE CP
MATAM,DES AGNAM (AGNAM CIVOL),SIEGE ALDA AGNAM OURO CIRE,5,502,CLASSE CM1
MATAM,DES AGNAM (AGNAM CIVOL),SYLLA WORGO,1,399,ABRI PROVISOIRE
MATAM,DES AGNAM (AGNAM CIVOL),SYLLA WORGO,2,346,ABRI PROVISOIRE
