DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MATAM,MATAM,ECOLE DIAMEL,1,573,CLASSE CM2 A
MATAM,MATAM,ECOLE DIAMEL,2,574,CLASSE CM1 A
MATAM,MATAM,ECOLE DIAMEL,3,500,SALLE DE CLASSE
MATAM,MATAM,ECOLE DIAMEL,4,501,SALLE DE CLASSE CM2 B
MATAM,MATAM,ECOLE GOUREL SERIGNE,1,569,SALLE MATERNELLE PETITE SECTIO
MATAM,MATAM,ECOLE GOUREL SERIGNE,2,570,CLASSE CP B
MATAM,MATAM,ECOLE GOUREL SERIGNE,3,569,CLASSE CE2 B
MATAM,MATAM,ECOLE GOUREL SERIGNE,4,563,SALLE DE CLASSE
MATAM,MATAM,ECOLE GOUREL SERIGNE,5,248,SALLE DE CLASSE CM1
MATAM,MATAM,ECOLE MATAM 1,1,527,CLASSE CM2 B
MATAM,MATAM,ECOLE MATAM 1,2,526,CLASSE CE1 A
MATAM,MATAM,ECOLE MATAM 1,3,530,CLASSE CE1 C
MATAM,MATAM,ECOLE MATAM 1,4,532,SALLE DE CLASSE
MATAM,MATAM,ECOLE MATAM 1,5,527,SALLE DE CLASSE CE2 B
MATAM,MATAM,ECOLE MATAM 2,1,545,CLASSE CE2 A
MATAM,MATAM,ECOLE MATAM 2,2,547,CLASSE CP B
MATAM,MATAM,ECOLE MATAM 2,3,545,CLASSE CM2 B
MATAM,MATAM,ECOLE MATAM 2,4,547,CLASSE CM2 A
MATAM,MATAM,ECOLE MATAM 4,1,559,SALLE DE CLASSE
MATAM,MATAM,ECOLE MATAM 4,2,561,SALLE DE CLASSE
MATAM,MATAM,ECOLE MATAM 4,3,562,SALLE DE CLASSE
MATAM,MATAM,ECOLE MATAM 4,4,554,SALLE DE CLASSE
MATAM,MATAM,ECOLE MATAM 4,5,353,SALLE DE CLASSE  CE2 B
MATAM,MATAM,ECOLE NAVEL,1,484,CLASSE CP B
MATAM,MATAM,ECOLE NAVEL,2,484,CLASSE CE 1
MATAM,MATAM,ECOLE NAVEL,3,485,SALLE DE CLASSE
