DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MATAM,NABADJI CIVOL,BOKISSABOUDOU,1,499,CLASSE CM 2
MATAM,NABADJI CIVOL,BOKISSABOUDOU,2,500,CLASSE CM1
MATAM,NABADJI CIVOL,BOYNADJI ROUMDE,1,489,CLASSE CM2A
MATAM,NABADJI CIVOL,BOYNADJI ROUMDE,2,490,CLASSE CM2 B
MATAM,NABADJI CIVOL,BOYNADJI ROUMDE,3,487,CLASSE CE2
MATAM,NABADJI CIVOL,BOYNADJI SINTHIOU,1,537,CLASSE CM1 A
MATAM,NABADJI CIVOL,BOYNADJI SINTHIOU,2,537,CLASSE CM1 B
MATAM,NABADJI CIVOL,BOYNADJI SINTHIOU,3,537,CLASSE CE2 A
MATAM,NABADJI CIVOL,BOYNADJI SINTHIOU,4,534,SALLE DE CLASSE
MATAM,NABADJI CIVOL,DIENGA,1,479,ABRI PROVISOIRE
MATAM,NABADJI CIVOL,ECOLE HONTORBE,1,459,ECOLE / CLASSE CI
MATAM,NABADJI CIVOL,ECOLE SIRIWORO,1,311,ECOLE / CLASSE CP
MATAM,NABADJI CIVOL,ECOLE THIOUBALEL,1,380,ECOLE / CLASSE CI
MATAM,NABADJI CIVOL,ECOLE TIGUERE YENE,1,560,ECOLE / CLASSE CP
MATAM,NABADJI CIVOL,ECOLE TIGUERE YENE,2,269,ECOLE / CLASSE CI
MATAM,NABADJI CIVOL,FETE NIEBE,1,462,CLASSE CM2 A
MATAM,NABADJI CIVOL,FETE NIEBE,2,461,CLASSE CM1 A
MATAM,NABADJI CIVOL,FETE NIEBE,3,460,CLASSE CE2 A
MATAM,NABADJI CIVOL,KOUNDEL,1,508,CLASSE CM 2
MATAM,NABADJI CIVOL,KOUNDEL,2,510,SALLE DE CLASSE
MATAM,NABADJI CIVOL,MOGO YALALBE 1,1,295,ECOLE MOGO YALALBE/ CLASSE CI
MATAM,NABADJI CIVOL,NABADJI CIVOL 1,1,597,CLASSE CM2  A
MATAM,NABADJI CIVOL,NABADJI CIVOL 1,2,596,CLASSE CM2 B
MATAM,NABADJI CIVOL,NABADJI CIVOL 1,3,597,CLASSE CM1 A
MATAM,NABADJI CIVOL,NABADJI CIVOL 1,4,594,CLASSE CM1 B
MATAM,NABADJI CIVOL,NABADJI CIVOL 1,5,593,CLASSE CE2 A
MATAM,NABADJI CIVOL,NABADJI CIVOL 1,6,599,CLASSE DE CE2 B
MATAM,NABADJI CIVOL,NABADJI MBAL,1,428,CLASSE CM 2
MATAM,NABADJI CIVOL,NABADJI MBAL,2,426,CLASSE CM 1
MATAM,NABADJI CIVOL,NDOULOUMADJI DEMBE,1,560,CLASSE CM2 A
MATAM,NABADJI CIVOL,NDOULOUMADJI DEMBE,2,555,CLASSE CM2 B
MATAM,NABADJI CIVOL,NDOULOUMADJI DEMBE,3,559,CLASSE CM1 A
MATAM,NABADJI CIVOL,NDOULOUMADJI DEMBE,4,558,CLASSE CE 2 A
MATAM,NABADJI CIVOL,NDOULOUMADJI DEMBE,5,558,CLASSE CE 2 A
MATAM,NABADJI CIVOL,NDOULOUMADJI DEMBE,6,496,ECOLE NDOULMADJI DEMBE 1 - CM 1 B
MATAM,NABADJI CIVOL,NDOULOUMADJI FOUNEBE,1,567,ECOLE / CLASSE CE2
MATAM,NABADJI CIVOL,NDOULOUMADJI FOUNEBE,2,570,ECOLE / CLASSE CE1
MATAM,NABADJI CIVOL,NDOULOUMADJI FOUNEBE,3,415,CLASSE DE CI
MATAM,NABADJI CIVOL,NGUEYENE,1,547,CLASSE CM2 A
MATAM,NABADJI CIVOL,NGUEYENE,2,546,CLASSE CM2 B
MATAM,NABADJI CIVOL,NGUEYENE,3,547,CLASSE CM1 A
MATAM,NABADJI CIVOL,SEDO ABASSE,1,410,CLASSE CM2 A
MATAM,NABADJI CIVOL,SEDO ABASSE,2,406,CLASSE CM2 B
MATAM,NABADJI CIVOL,SEDO SEBE,1,564,ECOLE - CLASSE CM2
MATAM,NABADJI CIVOL,SEDO SEBE,2,559,CLASSE CM1
MATAM,NABADJI CIVOL,SEDO SEBE,3,566,CLASSE CE 2
MATAM,NABADJI CIVOL,SEDO SEBE,4,559,CLASSE CE 1 ECOLE 1
MATAM,NABADJI CIVOL,SEDO SEBE,5,198,ECOLE SEDO SEBE 1 CLASSE CP
MATAM,NABADJI CIVOL,SINTHIOU MOGO,1,504,CLASSE CM 2
MATAM,NABADJI CIVOL,SINTHIOU MOGO,2,501,CLASSE CM1
MATAM,NABADJI CIVOL,THIARENE,1,583,CLASSE CM 2
MATAM,NABADJI CIVOL,THIARENE,2,584,CLASSE C M 1
MATAM,NABADJI CIVOL,THIARENE,3,587,CLASSE C E 2
MATAM,NABADJI CIVOL,THIARENE,4,199,CLASSE CE1 B
MATAM,NABADJI CIVOL,TIGUERE CIRE,1,482,CLASSE CM 2
MATAM,NABADJI CIVOL,TIGUERE CIRE,2,480,CLASSE CM 1
MATAM,NABADJI CIVOL,TIGUERE CIRE,3,482,CLASSE CE 2
MATAM,NABADJI CIVOL,WOUDOUROU,1,528,CLASSE CM 2
MATAM,NABADJI CIVOL,WOUDOUROU,2,532,CLASSE CM 1
MATAM,NABADJI CIVOL,WOUDOUROU,3,522,CLASSE CE 2
MATAM,NABADJI CIVOL,WOUDOUROU,4,528,SALLE DE CLASSE
MATAM,NABADJI CIVOL,WOUDOUROU,5,339,ECOLE WOUDOUROU 1 CLASSE CP
