DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MATAM,OGO,BELINAYDE MBAYLA,1,508,ABRI PROVISOIRE
MATAM,OGO,BELINAYDE MBAYLA,2,508,ABRI PROVISOIRE
MATAM,OGO,DANTHIADI,1,568,CLASSE CM2 A
MATAM,OGO,DANTHIADI,2,559,CLASSE CM1 A
MATAM,OGO,DANTHIADI,3,571,CLASSE CE2 A
MATAM,OGO,DANTHIADI,4,488,ECOLE DANTHIADY/ CLASSE DE CI A
MATAM,OGO,DIANDIOLY TOUCOULEUR,1,531,CLASSE CM2 A
MATAM,OGO,DIANDIOLY TOUCOULEUR,2,538,CLASSE CM1 A
MATAM,OGO,DIANDIOLY TOUCOULEUR,3,532,CLASSE CE2 A
MATAM,OGO,DIANDIOLY TOUCOULEUR,4,311,CLASSE CE1 B
MATAM,OGO,DINDOUDI,1,332,CLASSE CM 1
MATAM,OGO,ECOLE HAMARABE,1,481,CLASSE CP
MATAM,OGO,GALOYABE TOUCOULEUR,1,288,CLASSE CM 2
MATAM,OGO,GALOYABE TOUCOULEUR,2,287,CLASSE CM 1
MATAM,OGO,GALOYABE TOUCOULEUR,3,287,CLASSE CI
MATAM,OGO,GANABALOL,1,435,CLASSE CM 2
MATAM,OGO,GARLI,1,504,CLASSE CM 2
MATAM,OGO,GARLI,2,108,ECOLE GARLY/ CLASSE CM1
MATAM,OGO,HOMBO,1,435,CLASSE CM 2
MATAM,OGO,HOMBO,2,438,CLASSE CM 1
MATAM,OGO,LAMBANGO,1,336,CLASSE CE 2
MATAM,OGO,LEVE NGUENAR,1,582,CLASSE CE 1
MATAM,OGO,LEVE NGUENAR,2,294,CLASSE DE CM1
MATAM,OGO,LOUMBOL ALLOUKI,1,223,ECOLE CLASSE CI
MATAM,OGO,OGO,1,563,CLASSE CM2 A
MATAM,OGO,OGO,2,565,CLASSE CM2 B
MATAM,OGO,OGO,3,561,CLASSE CM1 A
MATAM,OGO,OGO,4,560,CLASSE CE2 A
MATAM,OGO,OGO,5,572,CLASSE CM 1 ECOLE 1
MATAM,OGO,OGO,6,354,CLASSE CE2 B ECOLE 1
MATAM,OGO,SINTHIOU GARBA,1,562,CLASSE CM2 A
MATAM,OGO,SINTHIOU GARBA,2,554,CLASSE CM2 B
MATAM,OGO,SINTHIOU GARBA,3,567,CLASSE CM1 A
MATAM,OGO,SINTHIOU GARBA,4,566,CLASSE CM1 B
MATAM,OGO,SINTHIOU GARBA,5,552,CLASSE CE2 A
MATAM,OGO,SINTHIOU GARBA,6,557,CLASSE CE2B
MATAM,OGO,SINTHIOU GARBA,7,549,CLASSE CE 1 A
MATAM,OGO,THIAMBE,1,556,CLASSE CM2 A
MATAM,OGO,THIAMBE,2,555,CLASSE CM1 A
MATAM,OGO,THIANCONE BOGUEL,1,490,CLASSE CM 2
MATAM,OGO,THIANCONE BOGUEL,2,491,CLASSE CM 1
MATAM,OGO,THIANCONE BOGUEL,3,426,CLASSE CM 1 B
MATAM,OGO,THIANCONE HIRAYE,1,474,CLASSE CM 2
MATAM,OGO,THIANCONE HIRAYE,2,474,CLASSE CM 1
MATAM,OGO,VASSACODE MBAYLA,1,577,CLASSE CM 2
MATAM,OGO,VASSACODE MBAYLA,2,575,CLASSE CM 1
MATAM,OGO,VASSACODE MBAYLA,3,172,CLASSE CE2 A
