DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MATAM,OUROSSOGUI,C.E.M. OURROSSOGUI,1,529,CEM OUROSSOGUI CLASSE 5EME
MATAM,OUROSSOGUI,C.E.M. OURROSSOGUI,2,528,CEM OUROSSOGUI CLASSE 6EME
MATAM,OUROSSOGUI,C.E.M. OURROSSOGUI,3,527,SALLE DE CLASSE
MATAM,OUROSSOGUI,C.E.M. OURROSSOGUI,4,529,SALLE DE CLASSE
MATAM,OUROSSOGUI,ECOLE 1 (AINOUMADY 1),1,524,CLASSE CM2A
MATAM,OUROSSOGUI,ECOLE 1 (AINOUMADY 1),2,522,CLASSE CM2B
MATAM,OUROSSOGUI,ECOLE 1 (AINOUMADY 2),1,409,ECOLE OUROSSOGUI 1 CI
MATAM,OUROSSOGUI,ECOLE 1 (AINOUMADY 2),2,407,SALLE DE CLASSE
MATAM,OUROSSOGUI,ECOLE 2,1,554,CLASSE CM1A
MATAM,OUROSSOGUI,ECOLE 2,2,551,CALSSE CIB
MATAM,OUROSSOGUI,ECOLE 2,3,549,CALSSE CPB
MATAM,OUROSSOGUI,ECOLE 2,4,559,CLASSE CI A
MATAM,OUROSSOGUI,ECOLE 2,5,564,SALLE DE CLASSE
MATAM,OUROSSOGUI,ECOLE 2,6,360,SALLE DE CLASSE CP A
MATAM,OUROSSOGUI,ECOLE 3,1,549,ECOLE OUROSSOGUI3 CLASSE CIA
MATAM,OUROSSOGUI,ECOLE 3,2,542,ECOLE OUROSSOGUI 3 CIB
MATAM,OUROSSOGUI,ECOLE 3,3,546,SALLE DE CLASSE
MATAM,OUROSSOGUI,ECOLE 3,4,550,SALLE DE CLASSE
MATAM,OUROSSOGUI,ECOLE 3,5,224,SALLE DE CLASSE CE2 A
MATAM,OUROSSOGUI,ECOLE OUROSSOGUE 4,1,527,ECOLE OUROSSOGUI 2 CIA
MATAM,OUROSSOGUI,ECOLE OUROSSOGUE 4,2,527,ECOLE OUROSSOGUI 2 CIB
MATAM,OUROSSOGUI,ECOLE OUROSSOGUE 4,3,529,SALLE DE CLASSE
MATAM,OUROSSOGUI,ECOLE OUROSSOGUE 4,4,528,SALLE DE CLASSE CM2 A
