DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MATAM,THILOGNE,ECOLE 1,1,324,CLASSE CIA
MATAM,THILOGNE,ECOLE 1,2,326,CLASSE CIC
MATAM,THILOGNE,ECOLE 1,3,326,CLASSE CM1A
MATAM,THILOGNE,ECOLE 1,4,325,CLASSE CM2A
MATAM,THILOGNE,ECOLE 1,5,324,CLASSE CE1B
MATAM,THILOGNE,ECOLE 1,6,324,CLASSE C E 2 B
MATAM,THILOGNE,ECOLE 1,7,321,CLASSE CPB
MATAM,THILOGNE,ECOLE 1,8,323,CLASSE CE1A
MATAM,THILOGNE,ECOLE 2,1,577,ECOLE THILOGNE 2 CLASSE CM2A
MATAM,THILOGNE,ECOLE 2,2,573,ECOLE THILOGNE 2 CLASSE CM2B
MATAM,THILOGNE,ECOLE 2,3,572,SALLE DE CLASSE
MATAM,THILOGNE,ECOLE 2,4,574,SALLE DE CLASSE
MATAM,THILOGNE,ECOLE 2,5,574,SALLE DE CLASSE
MATAM,THILOGNE,ECOLE 2,6,575,SALLE DE CLASSE
MATAM,THILOGNE,ECOLE 2,7,572,ABRI PROVISOIRE
MATAM,THILOGNE,ECOLE 3,1,139,SALLE DE CLASSE
