DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
RANEROU FERLO,VELINGARA (RANEROU),ADIA,1,540,ECOLE SALLE DE CLASSE
RANEROU FERLO,VELINGARA (RANEROU),BAGNANOL 2,1,276,ECOLE SALLE DE CLASSE
RANEROU FERLO,VELINGARA (RANEROU),BELEL TOUFFLE SANTHIANE,1,338,ECOLE SALLE DE CLASSE
RANEROU FERLO,VELINGARA (RANEROU),BELEL TOUFFLE SANTHIANE,2,338,ECOLE SALLE DE CLASSE
RANEROU FERLO,VELINGARA (RANEROU),BOUNDOU MBABA BARKEDJI,1,297,ECOLE SALLE DE CLASSE
RANEROU FERLO,VELINGARA (RANEROU),BOUNDOU MBABA SANTHIE,1,346,ECOLE SALLE 1
RANEROU FERLO,VELINGARA (RANEROU),DAYANE GASSEL,1,485,ECOLE SALLE DE CLASSE
RANEROU FERLO,VELINGARA (RANEROU),MBAKEDJI SAMBA NIAKE,1,344,ABRI PROVISOIRE
RANEROU FERLO,VELINGARA (RANEROU),MBEM MBEM,1,507,ECOLE SALLE 1
RANEROU FERLO,VELINGARA (RANEROU),MBEM MBEM,2,506,ECOLE SALLE 2
RANEROU FERLO,VELINGARA (RANEROU),NDIANOYE,1,519,ECOLE SALLE 1
RANEROU FERLO,VELINGARA (RANEROU),NELBI,1,197,ABRI PROVISOIRE
RANEROU FERLO,VELINGARA (RANEROU),SAB SABRE DIAM DIAM,1,345,ECOLE SALLE DE CLASSE
RANEROU FERLO,VELINGARA (RANEROU),SESSOUM DOUBEL,1,225,ECOLE SALLE DE CLASSE
RANEROU FERLO,VELINGARA (RANEROU),THIASKY DIONABE,1,132,ECOLE SALLE DE CLASSE
RANEROU FERLO,VELINGARA (RANEROU),THIONOKH SANGUE,1,527,ECOLE SALLE 1
RANEROU FERLO,VELINGARA (RANEROU),THIONOKH SANGUE,2,525,ECOLE SALLE 2
RANEROU FERLO,VELINGARA (RANEROU),VELINGARA,1,557,ECOLE SALLE 1
RANEROU FERLO,VELINGARA (RANEROU),VELINGARA,2,550,ECOLE SALLE 2
RANEROU FERLO,VELINGARA (RANEROU),VELINGARA,3,551,ECOLE SALLE 3
RANEROU FERLO,VELINGARA (RANEROU),VELINGARA,4,554,ECOLE SALLE 4
RANEROU FERLO,VELINGARA (RANEROU),VELINGARA,5,398,ECOLE SALLE 5
RANEROU FERLO,VELINGARA (RANEROU),WENDOU NAMARY,1,257,ECOLE SALLE DE CLASSE
