DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAGANA,BOKHOL,ARRIVELE 1,1,440,CLASSE CP
DAGANA,BOKHOL,ARRIVELE 2,1,122,CLASSE CE1
DAGANA,BOKHOL,BELEL GAOUDI,1,538,CLASSE CP
DAGANA,BOKHOL,BELEL GAOUDI,2,63,CLASSE CE1
DAGANA,BOKHOL,BELEL HARMANABE,1,128,ABRI RPOVISOIRE
DAGANA,BOKHOL,BOKHOL,1,572,CLASSE CI
DAGANA,BOKHOL,BOKHOL,2,572,CLASSE CE 1
DAGANA,BOKHOL,BOKHOL,3,571,CLASSE CM 1
DAGANA,BOKHOL,BOKHOL,4,572,CLASSE CM 2
DAGANA,BOKHOL,BOKHOL,5,573,CLASSE CE1 A
DAGANA,BOKHOL,BOKHOL,6,572,CLASSE CP
DAGANA,BOKHOL,DAR ES SALAM,1,218,CLSSE CI
DAGANA,BOKHOL,DIAVALEDJI,1,77,ABRI PROVISOIRE
DAGANA,BOKHOL,ECOLE KEUR MBAYE 2,1,177,CLASSE CE1
DAGANA,BOKHOL,ECOLE NGAMBOU THILLE,1,147,CLASSE CE2
DAGANA,BOKHOL,GALLODJINA 1,1,487,CLASSE CI
DAGANA,BOKHOL,GUEUM YALLA,1,261,CLASSE CM 1
DAGANA,BOKHOL,GUIDAKHAR,1,308,CLASSE CP
DAGANA,BOKHOL,GUIDAKHAR,2,308,SALLE DE CLASSE
DAGANA,BOKHOL,KEUR MALAL TALAB,1,586,CLASSE CE2
DAGANA,BOKHOL,KEUR MALAL TALAB,2,16,CLASSE CE1
DAGANA,BOKHOL,KEUR MBAYE 1,1,526,CLASSE CE 2
DAGANA,BOKHOL,KEUR MBAYE NDIOGOU,1,201,ABRI PROVISOIRE
DAGANA,BOKHOL,KEUR MBAYE PEULH,1,182,CLASSE CP
DAGANA,BOKHOL,KEUR MOR IBRA,1,183,CLASSE CE1
DAGANA,BOKHOL,KHARE,1,408,CLASSE CP
DAGANA,BOKHOL,LOUMBOUL SOUMANABE,1,366,ABRI PROVISOIRE
DAGANA,BOKHOL,MBILOR,1,411,CLASSE CE 1
DAGANA,BOKHOL,MBILOR,2,410,CLASSE CE 2
DAGANA,BOKHOL,MERY,1,143,CLASSE CE 1
DAGANA,BOKHOL,MERY,2,143,CLASSE CM 1
DAGANA,BOKHOL,NDIODOUNE,1,83,ABRI PROVISOIRE
DAGANA,BOKHOL,SOVONABE 2,1,79,ABRI PROVISOIRE
DAGANA,BOKHOL,SOVONABE VENDOU FANDOU,1,142,ABRI PROVISOIRE
DAGANA,BOKHOL,TOUCOULEUR DJIDIERI,1,399,CLASSE CE 1
DAGANA,BOKHOL,VINDOU FANDOU SAM,1,79,CLASSE CM 1
