DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAGANA,DAGANA,ECOLE ALGOR DIOUM,1,578,CLASSE CM2A
DAGANA,DAGANA,ECOLE ALGOR DIOUM,2,567,CLASSE CM1A
DAGANA,DAGANA,ECOLE ALGOR DIOUM,3,577,CLASSE CE2B
DAGANA,DAGANA,ECOLE ALGOR DIOUM,4,569,CLASSE CE1A
DAGANA,DAGANA,ECOLE ALGOR DIOUM,5,574,CLASSE CPA
DAGANA,DAGANA,ECOLE ALGOR DIOUM,6,569,CLASSE CIA
DAGANA,DAGANA,ECOLE ALGOR DIOUM,7,554,SALLE DE CLASSE
DAGANA,DAGANA,ECOLE ALGOR DIOUM,8,549,SALLE DE CLASSE
DAGANA,DAGANA,ECOLE ALGOR DIOUM,9,549,SALLE DE CLASSE
DAGANA,DAGANA,ECOLE ALGOR DIOUM,10,548,ECOLE MATERNELLE COMMUNALE
DAGANA,DAGANA,ECOLE ALGOR DIOUM,11,549,ECOLE MATERNELLE COMMUNALE
DAGANA,DAGANA,ECOLE ALGOR DIOUM,12,549,ECOLE MATERNELLE COMMUNALE
DAGANA,DAGANA,ECOLE ALIOUNE SARR,1,578,CLASSE CM2A
DAGANA,DAGANA,ECOLE ALIOUNE SARR,2,580,CLASSE CM1A
DAGANA,DAGANA,ECOLE ALIOUNE SARR,3,577,CLASSECE2B
DAGANA,DAGANA,ECOLE ALIOUNE SARR,4,363,SALLE DE CLASSE
DAGANA,DAGANA,ECOLE ALIOUNE SARR,5,363,SALLE DE CLASSE
DAGANA,DAGANA,ECOLE ALIOUNE SARR,6,363,SALLE DE CLASSE
DAGANA,DAGANA,ECOLE ALIOUNE SARR,7,361,SALLE DE CLASSE
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,1,580,CLASSE CM2A
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,2,576,CLASSE CM1A
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,3,581,CLASSE CE2B
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,4,576,CLASSE CM2 B
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,5,572,SALLE DE CLASSE
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,6,243,SALLE DE CLASSE
DAGANA,DAGANA,ECOLE MEDINA CHERIF,1,515,CLASSE CM2
DAGANA,DAGANA,ECOLE MEDINA CHERIF,2,514,CLASSE CE1
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,1,552,LYCEE A. MAYORO WELLE SALLE 1
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,2,560,SALLE 3
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,3,570,SALLE 5
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,4,556,SALLE 7
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,5,557,SALLE 9
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,6,555,SALLE 11
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,7,398,SALLE DE CLASSE
