DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAGANA,DIAMA,AL WATHIAM,1,256,CLASSE CI
DAGANA,DIAMA,ASSITOYE,1,259,SALLE DE CLASSE
DAGANA,DIAMA,DEBI,1,461,CLASSE CE 1
DAGANA,DIAMA,DEBI,2,461,CLASSE CM 1
DAGANA,DIAMA,DEMIZINE,1,251,CLASSE CI
DAGANA,DIAMA,DIADIAM 1,1,329,CLASSE CE 2
DAGANA,DIAMA,DIADIAM 3,1,237,CLASSE CI
DAGANA,DIAMA,DIAGAMBAL 1,1,475,CLASSE CI
DAGANA,DIAMA,DIAGAMBAL 1,2,476,CLASSE CM 2
DAGANA,DIAMA,DIAGAMBAL 2,1,527,CLASSE CI
DAGANA,DIAMA,DIAMA YALAR,1,561,CLASSE CI
DAGANA,DIAMA,DIAMA YALAR,2,557,CLASSE CM 1
DAGANA,DIAMA,DIAMA YALAR,3,553,SALLE DE CLASSE
DAGANA,DIAMA,DIAMA YALAR,4,135,CLASSE CM2 A
DAGANA,DIAMA,ECOLE GANDIAYE,1,297,CLASSE CM2
DAGANA,DIAMA,ECOLE MBOLTOGNE,1,229,CLASSE CI
DAGANA,DIAMA,ECOLE PONT GENDARME,1,297,CLASSE CM2
DAGANA,DIAMA,ECOLE SAVOIGNE PEULH,1,308,SALLE DE CLASSE
DAGANA,DIAMA,EL DEBOUBACK 1,1,551,CLASSE CI
DAGANA,DIAMA,EL DEBOUBACK 2,1,292,CLASSE CP
DAGANA,DIAMA,EL NGOURANE 1,1,264,CLASSE CP
DAGANA,DIAMA,MBOUBENE PEULH,1,307,CLASSE CM2
DAGANA,DIAMA,MBOUNDOUM BARRAGE,1,574,CLASSE CE 2
DAGANA,DIAMA,MBOUNDOUM BARRAGE,2,566,CLASSE CP 2
DAGANA,DIAMA,MBOUNDOUM BARRAGE,3,565,CLASSE CM 1
DAGANA,DIAMA,MBOUNDOUM BARRAGE,4,149,CLASSE CI A
DAGANA,DIAMA,NDELLE,1,489,CLASSE CP 2
DAGANA,DIAMA,NDELLE,2,488,CLASSE CM 1
DAGANA,DIAMA,NDIAYE NGUINT,1,548,CLASSE CE 1
DAGANA,DIAMA,NDIAYE NGUINT,2,548,CLASSE CE 2
DAGANA,DIAMA,NDIOL MAURE,1,422,CLASSE CP 2
DAGANA,DIAMA,NDIOL MAURE,2,421,CLASSE CM 1
DAGANA,DIAMA,NDIOUNGUE MBERESSE,1,355,CLASSE CM2 A
DAGANA,DIAMA,NDIOUNGUE MBERESSE,2,355,CLASSE CE 1
DAGANA,DIAMA,NIASSENE,1,387,CLASSE CM 1
DAGANA,DIAMA,NIASSENE,2,386,CLASSE CI
DAGANA,DIAMA,ODABE NAWAR 1,1,247,CASE SANTE
DAGANA,DIAMA,OUMARNABE NGUINT,1,133,CLASSE CM1
DAGANA,DIAMA,OURO L ISLAM,1,128,CLASSE CE 1
DAGANA,DIAMA,PEULH DIOSS,1,435,CLASSE CI
DAGANA,DIAMA,PEULH DIOSS,2,363,SALLE DE CLASSE
DAGANA,DIAMA,POLO,1,498,CLASSE CE2
DAGANA,DIAMA,RAYNABE 2,1,188,CLASE SANTE
DAGANA,DIAMA,SAVOIGNE PIONNIERS,1,359,CLASSE CE 1
DAGANA,DIAMA,SAVOIGNE PIONNIERS,2,357,CLASSE CM 1
DAGANA,DIAMA,SAVOIGNE PIONNIERS,3,357,SALLE DE CLASSE
DAGANA,DIAMA,TABA DAROUSSALAM 1,1,428,CLASSE CP 2
DAGANA,DIAMA,TABA TACHE,1,369,CLASSE CI
DAGANA,DIAMA,TABA TACHE,2,370,CLASSE CE1
DAGANA,DIAMA,TABA TREICH,1,494,CLASSE CP 2
DAGANA,DIAMA,THILENE,1,280,CLASSE CM 1
DAGANA,DIAMA,THILENE,2,279,CLASSE CM 2
DAGANA,DIAMA,THILENE,3,279,SALLE DE CLASSE
DAGANA,DIAMA,TIGUET,1,502,CLASSE CP 2
