DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAGANA,MBANE,BADJINCOBE VIDODJI,1,541,CLASSE CP
DAGANA,MBANE,BISNABE BOUTEYNI,1,397,CLASSE CI
DAGANA,MBANE,BISNABE BOUTEYNI,2,397,CLASSE CP
DAGANA,MBANE,BISNABE DIAPOBE,1,263,ABRI PROVISOIRE
DAGANA,MBANE,BISNABE PENDA YAYAKE,1,278,CLASSE CP
DAGANA,MBANE,DIAGLE,1,464,CLASSE CI
DAGANA,MBANE,DIAGLE,2,466,CLASSE CP
DAGANA,MBANE,DIALBANABE BELI NAMARI,1,496,CLASSE CI
DAGANA,MBANE,DIAM DIAYRE,1,157,CLASSE CP
DAGANA,MBANE,DIASSARNABE NDIACK FALL,1,294,CLASSE CP
DAGANA,MBANE,FOSS NDIAKHAYE 1,1,292,CLASSE CE1
DAGANA,MBANE,GANKETTE PENDA YAYAKE,1,94,CLASSE CE1
DAGANA,MBANE,MAPOUDJI,1,282,CLASSE CE 1
DAGANA,MBANE,MBANE,1,566,CLASSE CI
DAGANA,MBANE,MBANE,2,563,CLASSE CP
DAGANA,MBANE,MBANE,3,566,CLASSE CM 1
DAGANA,MBANE,MBELOGNE VIDODJI,1,265,ABRI PROVISOIRE
DAGANA,MBANE,MEDINA BAIDY,1,419,CLASSE CP
DAGANA,MBANE,NDIAKHAYE,1,598,CLASSE CE 1
DAGANA,MBANE,NIASSANTE,1,428,CLASSE CI
DAGANA,MBANE,NIASSANTE,2,428,CLASSE CP
DAGANA,MBANE,NIASSANTE,3,427,CLASSE CM1
DAGANA,MBANE,OULAD BERI,1,165,ABRI PROVISOIRE
DAGANA,MBANE,PAMPINABE 1,1,353,ABRI PROVISOIRE
DAGANA,MBANE,SAGOBE,1,145,CLASSE CP
DAGANA,MBANE,SANINTE TACK,1,348,CLASSE CE2
DAGANA,MBANE,SARE LAMOU,1,511,CLASSE CP
DAGANA,MBANE,SINGOU DIERI,1,408,CLASSE CP
DAGANA,MBANE,SOVONABE NIARY,1,450,CLASSE CE 1
DAGANA,MBANE,SOVONABE PATHE BADIO,1,532,CLASSE CP
DAGANA,MBANE,SOVONABE PATHE BADIO,2,532,CLASSE CE 1
DAGANA,MBANE,TEMEYE,1,384,CLASSE CE2
DAGANA,MBANE,TEMEYE LEWA,1,581,CLASSE CI
DAGANA,MBANE,TEMEYE LEWA,2,28,CLASSE CP
DAGANA,MBANE,TETHIANE MALAL,1,520,ABRI PROVISOIRE
DAGANA,MBANE,TETHIANE MALAL,2,116,ABRI PROVISOIRE
DAGANA,MBANE,THIAGO,1,544,CLASSE CP
DAGANA,MBANE,THIAGO,2,544,CLASSE CE 1
DAGANA,MBANE,WEYNDOU SAMBA,1,467,CLASSE CE 1
DAGANA,MBANE,YELOUR,1,296,CLASSE CI
